Indicator,Year,Full Name,FIPS,Population,All Prev Cases,All Prev Rates,F Prev Cases,F Prev Rates,M Prev Cases,M Prev Rates,13-24 Prev Cases,13-24 Prev Rates,25-34 Prev Cases,25-34 Prev Rates,35-44 Prev Cases,35-44 Prev Rates,45-54 Prev Cases,45-54 Prev Rates,55+ Prev Cases,55+ Prev Rates,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates,M2F Prev Cases,ID Prev Cases,M2M Prev Cases,M2MID Prev Cases,O Prev Cases
HIV prevalence,2008,Dekalb County GA,13089.0,607327,5794,954,1194,377.6,4600,1580.2,358,311.1,1090,817.1,1978,1641,1724,1666.6,644,477.5,,,27,111.6,3709,1151.3,350,617.5,396,6597.8,,,1310,666.2,1247,432,3747,324,45
HIV prevalence,2017,Dekalb County AL,1049.0,59164,54,91.3,8,26.7,46,157.6,,,5,59.2,15,168.4,14,147.3,,,0,0,0,0,,,6,86.1,,,,,43,87.2,8,,37,6,
HIV prevalence,2016,Dekalb County AL,1049.0,58830,50,85,9,30.1,41,141.6,,,,,15,165.9,14,147.2,16,76.6,0,0,0,0,0,0,6,89.4,,,,,41,83.3,10,,32,5,
HIV prevalence,2015,Dekalb County AL,1049.0,58775,45,76.6,9,30.1,36,124.6,0,0,7,84.4,15,163.2,11,114.9,12,58.5,0,0,0,0,,,6,91.4,,,,,34,68.9,9,,29,,0
HIV prevalence,2014,Dekalb County AL,1049.0,58530,43,73.5,7,23.5,36,125.2,0,0,5,60.4,16,171.4,16,167.6,6,29.8,0,0,0,0,,,5,77,,,,,35,71.1,9,,26,6,
HIV prevalence,2013,Dekalb County AL,1049.0,58283,39,66.9,8,27,31,108.4,0,0,8,95.5,12,127,14,146.6,5,25.3,0,0,0,0,,,6,93.3,,,,,31,63.2,9,,25,,
HIV prevalence,2012,Dekalb County AL,1049.0,58094,40,68.9,9,30.4,31,108.8,,,9,105.1,11,115.7,13,135.4,,,0,0,0,0,,,5,78.8,,,,,31,63.3,11,,22,5,
HIV prevalence,2011,Dekalb County AL,1049.0,58145,38,65.4,9,30.4,29,101.7,0,0,9,101.6,9,93.8,12,123.7,8,42.2,0,0,0,0,,,5,79.8,,,,,29,59,10,,20,,
HIV prevalence,2010,Dekalb County AL,1049.0,57869,38,65.7,9,30.5,29,102.1,0,0,7,77.9,11,113.9,15,154.3,5,26.9,0,0,0,0,,,,,,,,,29,59.1,10,,22,,
HIV prevalence,2009,Dekalb County AL,1049.0,56479,43,76.1,9,31.1,34,123.5,,,6,65.3,15,160.3,18,185.2,,,0,0,0,0,,,,,,,,,36,72.8,8,,27,,
HIV prevalence,2008,Dekalb County AL,1049.0,56081,43,76.7,10,34.7,33,120.9,,,7,76.5,17,181.3,15,155.7,,,0,0,0,0,,,,,,,,,35,70.9,9,,26,,
HIV prevalence,2017,Dekalb County IN,18033.0,35498,20,56.3,8,44.6,12,68.3,,,,,,,7,121,8,63.1,,,0,0,,,,,0,0,,,18,53,10,,9,,0
HIV prevalence,2016,Dekalb County IN,18033.0,35234,18,51.1,6,33.7,12,68.9,,,,,,,9,152.9,5,40.2,,,0,0,0,0,,,0,0,,,17,50.4,8,,9,,0
HIV prevalence,2015,Dekalb County IN,18033.0,35136,16,45.5,7,39.4,9,51.8,,,0,0,,,9,149.8,,,,,0,0,0,0,,,0,0,,,15,44.6,8,,7,,0
HIV prevalence,2014,Dekalb County IN,18033.0,35071,12,34.2,6,33.8,6,34.7,,,0,0,,,5,81.8,,,,,0,0,0,0,,,0,0,,,11,32.7,6,,5,,0
HIV prevalence,2013,Dekalb County IN,18033.0,34896,11,31.5,5,28.3,6,34.9,0,0,0,0,,,6,97.1,,,,,0,0,0,0,,,0,0,,,10,29.8,5,,5,,0
HIV prevalence,2012,Dekalb County IN,18033.0,34706,13,37.5,5,28.4,8,46.7,,,0,0,5,92.3,5,79.4,,,,,0,0,,,,,0,0,,,12,35.9,,,8,0,0
HIV prevalence,2011,Dekalb County IN,18033.0,34649,17,49.1,5,28.4,12,70.3,,,,,6,110,6,93.6,,,,,0,0,0,0,,,0,0,,,15,44.9,5,,10,,0
HIV prevalence,2010,Dekalb County IN,18033.0,34420,18,52.3,5,28.6,13,76.6,,,,,5,90,5,76.9,,,,,0,0,0,0,,,0,0,,,16,48.1,5,,9,,0
HIV prevalence,2009,Dekalb County IN,18033.0,34402,20,58.1,9,52,11,64.4,,,,,,,10,154.7,,,,,0,0,0,0,,,0,0,,,18,54.4,6,,8,,0
HIV prevalence,2008,Dekalb County IN,18033.0,34203,21,61.4,11,63.9,10,58.9,,,5,93.8,7,120.5,7,109.5,,,,,0,0,0,0,,,0,0,,,20,60.7,6,,7,,0
HIV prevalence,2017,Dekalb County IL,17037.0,88211,81,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2016,Dekalb County IL,17037.0,87944,69,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2015,Dekalb County IL,17037.0,87879,61,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2014,Dekalb County IL,17037.0,88120,55,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2013,Dekalb County IL,17037.0,87721,59,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2012,Dekalb County IL,17037.0,87655,55,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2011,Dekalb County IL,17037.0,87590,45,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2010,Dekalb County IL,17037.0,88081,43,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2009,Dekalb County IL,17037.0,90269,59,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Dekalb County IL,17037.0,89595,53,59.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Del Norte County CA,6015.0,23168,27,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2016,Del Norte County CA,6015.0,23218,27,116.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2015,Del Norte County CA,6015.0,23110,22,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2014,Del Norte County CA,6015.0,23006,19,82.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2013,Del Norte County CA,6015.0,23584,19,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2012,Del Norte County CA,6015.0,23931,21,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2011,Del Norte County CA,6015.0,24143,22,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2010,Del Norte County CA,6015.0,24269,23,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2009,Del Norte County CA,6015.0,24730,33,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Del Norte County CA,6015.0,24530,32,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Delaware County PA,42045.0,475195,576,121.2,216,86.8,360,159.1,13,14.1,67,91.8,108,161.4,177,238.5,211,124.9,0,0,5,18.2,342,354.3,60,373.8,39,607,0,0,130,39.6,239,137,171,,
HIV prevalence,2016,Delaware County PA,42045.0,474705,383,80.7,149,59.9,234,103.6,10,10.7,57,78.7,72,108.6,124,163,120,72,0,0,5,18.8,230,242.9,41,264.9,27,434.1,0,0,80,24.2,175,74,116,,
HIV prevalence,2015,Delaware County PA,42045.0,474088,894,188.6,335,134.8,559,247.9,35,37.1,103,142.8,150,226.8,283,364.4,323,197.3,,,8,31.3,534,572.2,75,500.8,64,1066.1,,,211,63.3,380,212,268,26,8
HIV prevalence,2014,Delaware County PA,42045.0,473579,986,208.2,358,144,628,279.2,53,55.5,125,174.3,183,275.6,308,389.1,317,197.2,,,8,32.2,589,638.8,84,572.7,69,1183.5,,,234,69.8,404,236,300,31,15
HIV prevalence,2013,Delaware County PA,42045.0,472210,1197,253.5,413,166.5,784,349.7,71,73.5,156,221.5,230,344.5,385,476.3,355,225.2,,,7,29.3,698,770.2,91,645.3,84,1493.4,,,315,93.4,468,278,385,44,21
HIV prevalence,2012,Delaware County PA,42045.0,470794,1193,253.4,423,171,770,344.6,69,71.2,161,231.5,245,365.4,385,464.9,333,215.6,,,7,30.3,708,797.6,87,641.5,83,1524.7,,,306,90.2,457,301,368,44,23
HIV prevalence,2011,Delaware County PA,42045.0,469200,1164,248.1,414,167.7,750,337.2,78,80,151,221.6,252,370.5,388,458,295,195.5,,,6,26.7,689,791.4,81,627.5,89,1697.6,,,297,87.1,431,315,349,46,23
HIV prevalence,2010,Delaware County PA,42045.0,468444,1129,241,399,161.8,730,329,67,68.2,140,209.3,265,381,392,456.2,265,179.3,,,5,23.1,656,765.1,81,650.9,90,1794,,,294,85.7,409,317,328,52,22
HIV prevalence,2009,Delaware County PA,42045.0,468005,1294,276.5,421,171.9,873,391.3,65,65.9,167,244.1,317,445,474,549.6,271,188.8,,,8,40.1,753,941.9,95,938.6,109,2892,,,328,92.8,454,355,397,69,19
HIV prevalence,2008,Delaware County PA,42045.0,466047,1224,262.6,408,167.1,816,367.9,59,59.6,144,215.2,334,455,452,524.7,235,167.1,,,7,36.1,719,916.5,87,901.1,103,2818.1,,,308,86.9,423,353,361,68,19
HIV prevalence,2017,Delaware County IA,19055.0,14266,9,63.1,0,0,9,125.6,,,0,0,,,,,,,,,,,,,0,0,,,,,9,65,0,,5,,0
HIV prevalence,2016,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2015,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2014,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2013,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2012,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2011,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2010,Delaware County IA,19055.0,14659,5,34.1,,,,,0,0,0,0,5,243.4,0,0,0,0,,,,,,,,,,,,,5,34.7,,0,,0,0
HIV prevalence,2009,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Delaware County IA,19055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Delaware County IN,18035.0,100298,127,126.6,18,34.4,109,227.4,6,20.6,16,121.6,26,226.3,37,276.3,42,126.5,,,0,0,31,462.7,7,312.3,5,334.3,,,84,95.2,18,12,80,,
HIV prevalence,2016,Delaware County IN,18035.0,100494,123,122.4,20,38.2,103,214.2,6,20.4,20,154,20,170.9,47,347,30,91.2,,,0,0,32,476.9,8,377.4,6,410.3,,,77,86.9,19,12,75,,
HIV prevalence,2015,Delaware County IN,18035.0,100330,118,117.6,20,38.2,98,204,5,17.1,20,154.4,22,184.5,46,337.6,25,76.9,,,0,0,31,468.8,6,297.8,5,342.9,,,76,85.7,23,11,68,,
HIV prevalence,2014,Delaware County IN,18035.0,100812,103,102.2,20,37.9,83,172.5,0,0,20,155.7,20,163.9,43,310.2,20,62.3,0,0,0,0,22,332.5,,,5,352.5,,,72,80.6,22,10,57,,
HIV prevalence,2013,Delaware County IN,18035.0,100966,99,98.1,17,32.2,82,170.1,5,16.6,16,125.2,20,162.3,44,313.3,14,44.1,0,0,0,0,26,394.4,,,,,,,65,72.5,21,7,58,,
HIV prevalence,2012,Delaware County IN,18035.0,100958,94,93.1,15,28.4,79,164.1,5,16.5,15,119.8,22,177.1,39,272.3,13,41.4,0,0,0,0,22,335.3,,,6,453,,,63,70,18,7,58,,
HIV prevalence,2011,Delaware County IN,18035.0,101433,94,92.7,13,24.5,81,167.7,5,16.5,15,117.8,19,150.9,44,298.9,11,35.4,0,0,0,0,23,352.4,,,6,468.8,,,63,69.6,15,9,59,,
HIV prevalence,2010,Delaware County IN,18035.0,101061,91,90,16,30.2,75,155.7,,,12,93.5,23,178.8,40,267.7,,,0,0,0,0,19,292.1,,,5,397.9,,,65,71.9,17,8,55,,
HIV prevalence,2009,Delaware County IN,18035.0,98794,104,105.3,18,34.6,86,184,,,11,100.6,35,270.3,42,291.4,,,0,0,0,0,20,307.1,,,5,526.9,,,75,84.6,19,7,69,,
HIV prevalence,2008,Delaware County IN,18035.0,98544,104,105.5,17,32.8,87,186.4,,,13,120.4,39,294.4,36,248.3,,,0,0,0,0,20,313,,,5,547.6,,,75,84.6,17,7,70,,
HIV prevalence,2017,Delaware County OK,40041.0,36571,28,76.6,5,26.7,23,128.8,,,,,6,139.8,7,132.8,13,76.7,,,0,0,,,,,,,,,20,81.6,,5,15,,
HIV prevalence,2016,Delaware County OK,40041.0,35954,28,77.9,5,27.2,23,131,,,,,6,139.3,9,170.5,11,66.4,,,0,0,,,,,,,,,21,87,,,17,,
HIV prevalence,2015,Delaware County OK,40041.0,35708,25,70,,,,,,,,,7,164.6,7,130.1,9,55.2,,,0,0,,,,,0,0,,,19,78.8,,,14,,
HIV prevalence,2014,Delaware County OK,40041.0,35590,20,56.2,,,,,,,,,,,9,165.5,,,,,0,0,0,0,0,0,,,,,14,57.9,,5,12,,0
HIV prevalence,2013,Delaware County OK,40041.0,35451,17,48,,,,,0,0,,,,,9,162.3,,,,,0,0,,,,,,,,,12,49.5,,5,9,,0
HIV prevalence,2012,Delaware County OK,40041.0,35446,20,56.4,5,27.6,15,86.5,0,0,,,5,109.9,10,177.7,,,,,0,0,,,,,,,,,14,57.4,5,,11,,0
HIV prevalence,2011,Delaware County OK,40041.0,35293,17,48.2,6,33.2,11,63.8,,,,,5,109.9,6,103,,,,,0,0,,,,,,,,,10,40.9,,,7,,
HIV prevalence,2010,Delaware County OK,40041.0,35051,12,34.2,,,,,,,0,0,,,7,116.9,,,,,0,0,,,0,0,,,,,7,28.7,,,5,,
HIV prevalence,2009,Delaware County OK,40041.0,34383,10,29.1,5,28.4,5,29.8,0,0,,,,,5,88.9,,,,,0,0,0,0,,,,,,,5,20.4,,,,,0
HIV prevalence,2008,Delaware County OK,40041.0,34245,10,29.2,5,28.5,5,29.9,0,0,,,,,5,89.3,,,,,0,0,0,0,,,,,,,5,20.4,,,,,0
HIV prevalence,2017,Delaware County OH,39041.0,163270,128,78.4,25,30.1,103,128.4,,,7,35.7,25,82.6,51,165.7,,,0,0,,,23,398.6,,,,,,,99,70.2,27,,91,6,
HIV prevalence,2016,Delaware County OH,39041.0,159759,135,84.5,20,24.6,115,146.6,,,7,35.6,33,110.6,57,187.8,,,0,0,,,19,350,,,0,0,,,111,79.9,22,,101,6,
HIV prevalence,2015,Delaware County OH,39041.0,156280,144,92.1,23,28.9,121,157.9,5,16.3,12,61.4,35,117.3,56,188.5,36,77.2,0,0,0,0,20,386.3,6,179.3,,,,,115,84,25,,109,6,
HIV prevalence,2014,Delaware County OH,39041.0,152448,139,91.2,20,25.7,119,159.4,6,20.3,14,72.4,34,113.6,53,182.7,32,71.9,,,0,0,23,455.3,7,216.9,6,336.2,,,103,76.7,23,,106,8,
HIV prevalence,2013,Delaware County OH,39041.0,148422,142,95.7,18,23.8,124,170.6,6,21,17,89.4,38,127.4,50,175.1,31,72.9,,,0,0,25,507.1,5,164.9,8,474.4,,,104,79.2,19,,112,6,
HIV prevalence,2012,Delaware County OH,39041.0,144281,136,94.3,18,24.4,118,167.4,7,25.9,15,80.1,37,124.3,48,170,29,71.6,0,0,,,20,413.6,,,5,314.4,,,106,82.7,20,,107,5,
HIV prevalence,2011,Delaware County OH,39041.0,141427,116,82,16,22.1,100,144.8,5,19.2,12,63.7,35,117.2,39,139.4,25,64.6,0,0,,,16,336.2,6,224.9,,,,,89,70.6,18,,88,5,
HIV prevalence,2010,Delaware County OH,39041.0,137975,119,86.2,20,28.3,99,147,,,16,83.8,38,127.1,36,130.8,,,0,0,,,13,281.3,6,241.5,5,348.9,,,94,76.1,21,,88,,
HIV prevalence,2009,Delaware County OH,39041.0,133745,88,65.8,12,17.8,76,114.8,,,10,52.5,30,96,28,106.7,,,0,0,,,9,179.3,,,,,,,70,58.7,13,,66,,
HIV prevalence,2008,Delaware County OH,39041.0,130657,78,59.7,11,16.7,67,103.7,,,8,40.7,28,90.2,28,110.8,,,0,0,,,6,124.2,,,,,,,64,54.7,11,,59,,
HIV prevalence,2017,Delaware County NY,36025.0,39795,51,128.2,14,71,37,184.2,,,,,,,12,204.2,31,170.4,,,0,0,0,0,5,341.8,9,2446.3,,,37,100.5,12,9,26,,
HIV prevalence,2016,Delaware County NY,36025.0,40041,54,134.9,14,70.6,40,197.9,,,,,7,162.7,10,163.3,33,182.9,,,0,0,,,9,626,11,2987.4,,,33,88.9,12,10,28,,
HIV prevalence,2015,Delaware County NY,36025.0,40380,45,111.4,10,49.9,35,172.2,,,,,,,10,158.2,28,156.5,0,0,0,0,,,6,422.3,6,1656.5,,,30,80,9,6,23,,
HIV prevalence,2014,Delaware County NY,36025.0,40796,51,125,13,64.3,38,184.8,,,,,,,19,292,25,141.5,,,0,0,,,5,362.3,9,2414.1,,,33,86.9,11,8,25,,
HIV prevalence,2013,Delaware County NY,36025.0,40875,44,107.6,12,59.1,32,155.5,,,,,6,128,13,192.2,21,121,0,0,0,0,,,9,698.6,5,1302.2,,,27,70.8,8,8,24,,
HIV prevalence,2012,Delaware County NY,36025.0,41138,43,104.5,11,53.7,32,154.9,,,0,0,5,103.9,15,212.6,,,,,0,0,,,7,565.4,,,,,31,80.6,6,8,23,,
HIV prevalence,2011,Delaware County NY,36025.0,41317,50,121,10,48.6,40,192.7,,,,,8,160.6,19,262.9,16,94.3,,,0,0,5,825.3,7,566.8,6,1671.2,,,32,82.7,8,9,27,,
HIV prevalence,2010,Delaware County NY,36025.0,41565,37,89,9,43.5,28,134.1,,,,,6,116.5,11,148.1,14,83.3,,,0,0,,,,,5,1447.3,,,27,69.3,6,9,18,,
HIV prevalence,2009,Delaware County NY,36025.0,39552,48,121.4,15,74.9,33,168.9,,,,,11,221.9,22,305.2,10,63.5,0,0,0,0,,,7,647,8,2461.5,,,30,80.9,11,10,22,,
HIV prevalence,2008,Delaware County NY,36025.0,39904,49,122.8,15,74.3,34,172.5,,,,,12,228.3,21,290.1,11,70.5,0,0,0,0,,,7,654.8,8,2507.8,,,31,82.6,11,10,23,,
HIV prevalence,2017,Delta County TX,48119.0,4392,8,182.1,,,,,0,0,,,,,,,,,,,,,0,0,,,0,0,,,6,165.7,,,,,0
HIV prevalence,2016,Delta County TX,48119.0,4291,7,163.1,,,,,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,0
HIV prevalence,2015,Delta County TX,48119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2014,Delta County TX,48119.0,4334,5,115.4,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,,0,0
HIV prevalence,2013,Delta County TX,48119.0,4321,6,138.9,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,0,5,,0
HIV prevalence,2012,Delta County TX,48119.0,4397,10,227.4,,,,,,,,,,,,,0,0,,,,,,,,,,,,,6,163.8,,0,5,,0
HIV prevalence,2011,Delta County TX,48119.0,4347,5,115,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,0,,0,0
HIV prevalence,2010,Delta County TX,48119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2009,Delta County TX,48119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Delta County TX,48119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Delta County CO,8029.0,26284,16,60.9,,,,,0,0,6,199.3,,,,,,,,,0,0,0,0,,,0,0,,,11,50.3,,,13,0,0
HIV prevalence,2016,Delta County CO,8029.0,26051,14,53.7,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,0,,,9,41.6,,,10,0,0
HIV prevalence,2015,Delta County CO,8029.0,25618,15,58.6,,,,,0,0,,,,,6,165,,,,,0,0,0,0,,,0,0,,,11,51.6,,,8,,0
HIV prevalence,2014,Delta County CO,8029.0,25596,13,50.8,,,,,0,0,,,,,5,131.8,,,,,0,0,0,0,,,0,0,,,8,37.3,,,8,,0
HIV prevalence,2013,Delta County CO,8029.0,25809,13,50.4,,,,,0,0,,,,,5,125.7,,,,,0,0,0,0,,,0,0,,,8,36.9,,,8,,0
HIV prevalence,2012,Delta County CO,8029.0,25876,13,50.2,,,,,0,0,,,,,5,120.4,,,,,0,0,0,0,,,0,0,,,8,36.7,,,8,,0
HIV prevalence,2011,Delta County CO,8029.0,25786,14,54.3,,,,,0,0,,,,,6,138.3,,,,,0,0,0,0,,,0,0,,,9,41.2,,,8,,0
HIV prevalence,2010,Delta County CO,8029.0,26098,10,38.3,,,,,0,0,,,,,,,,,,,0,0,0,0,,,0,0,,,5,22.6,,,5,,0
HIV prevalence,2009,Delta County CO,8029.0,26391,8,30.3,,,,,0,0,,,,,,,,,,,,,0,0,,,0,0,,,,,,0,,,
HIV prevalence,2008,Delta County CO,8029.0,26035,7,26.9,,,,,,,0,0,,,,,,,,,,,0,0,,,0,0,,,,,,0,,,
HIV prevalence,2017,Delta County MI,26041.0,30914,19,61.5,5,31.9,14,91.7,,,,,,,9,196.6,6,41.6,,,0,0,,,,,,,,,12,41.3,6,,7,,
HIV prevalence,2016,Delta County MI,26041.0,31112,21,67.5,6,38.1,15,97.6,,,,,,,8,170.2,6,42,,,0,0,,,,,,,,,13,44.4,7,,8,,
HIV prevalence,2015,Delta County MI,26041.0,31250,20,64,5,31.6,15,97.3,,,,,5,128.1,,,7,49.4,,,0,0,,,,,,,,,13,44.1,6,,8,,
HIV prevalence,2014,Delta County MI,26041.0,31398,21,66.9,6,37.7,15,96.8,,,,,5,129,7,137.3,6,43,,,0,0,,,,,,,,,12,40.4,7,,8,,
HIV prevalence,2013,Delta County MI,26041.0,31547,20,63.4,5,31.3,15,96.4,,,,,,,7,132.6,6,43.7,,,0,0,,,,,,,,,12,40.2,5,0,10,,
HIV prevalence,2012,Delta County MI,26041.0,31543,20,63.4,5,31.2,15,96.5,,,0,0,7,175.5,,,7,52,,,0,0,,,,,,,,,12,40.2,5,0,10,,
HIV prevalence,2011,Delta County MI,26041.0,31611,18,56.9,,,,,,,,,5,123.9,,,7,53,,,0,0,,,,,,,,,11,36.7,,0,9,,
HIV prevalence,2010,Delta County MI,26041.0,31635,18,56.9,,,,,,,,,6,145.3,5,85.5,5,38.5,,,0,0,,,,,,,,,11,36.6,,0,9,,
HIV prevalence,2009,Delta County MI,26041.0,31583,11,34.8,,,,,0,0,0,0,,,,,,,0,0,0,0,,,0,0,0,0,,,11,36.6,,0,5,0,
HIV prevalence,2008,Delta County MI,26041.0,31836,11,34.6,,,,,0,0,0,0,,,,,,,0,0,0,0,,,0,0,0,0,,,11,36.2,,0,5,0,
HIV prevalence,2017,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2016,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2015,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2014,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2013,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2012,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2011,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2010,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2009,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Denali Borough AK,2068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Dent County MO,29065.0,12972,36,277.5,,,,,,,10,594.9,6,367.6,7,357.7,,,0,0,,,,,,,,,,,18,145.9,,5,26,,0
HIV prevalence,2016,Dent County MO,29065.0,12949,36,278,,,,,,,8,481.9,6,369.9,11,545.9,,,0,0,,,,,,,,,,,16,129.8,,5,24,,0
HIV prevalence,2015,Dent County MO,29065.0,13074,25,191.2,,,,,,,5,300.7,,,11,528.1,7,126.9,0,0,,,,,0,0,,,,,10,80.2,,6,15,,0
HIV prevalence,2014,Dent County MO,29065.0,13092,17,129.9,,,,,0,0,,,5,301,7,327.6,,,0,0,,,,,0,0,,,,,6,47.9,,,11,,0
HIV prevalence,2013,Dent County MO,29065.0,13171,24,182.2,,,,,,,5,292.9,5,300.1,10,440.7,,,0,0,,,,,,,0,0,,,8,63.5,,,13,5,0
HIV prevalence,2012,Dent County MO,29065.0,13064,25,191.4,,,,,,,5,305.3,6,357.1,11,477.2,,,0,0,,,,,,,,,,,6,47.9,,,12,7,0
HIV prevalence,2011,Dent County MO,29065.0,13033,19,145.8,,,,,,,5,305.6,,,8,340.1,,,0,0,,,,,,,,,,,7,55.9,,,10,5,0
HIV prevalence,2010,Dent County MO,29065.0,13099,17,129.8,,,,,,,,,,,7,290.8,,,0,0,,,,,,,0,0,,,9,71.4,,,9,,0
HIV prevalence,2009,Dent County MO,29065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2008,Dent County MO,29065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIV prevalence,2017,Denton County TX,48121.0,687029,1286,187.2,252,71.6,1034,308.5,73,52.5,267,214.7,294,229.1,371,304.2,281,162.1,0,0,24,39.3,403,601.6,265,216.4,82,714.2,0,0,512,121.5,259,80,855,70,22
HIV prevalence,2016,Denton County TX,48121.0,661809,1219,184.2,247,72.9,972,301.1,81,59.8,238,197,273,219.1,383,324.4,244,149.7,0,0,22,39.7,372,590.8,264,226.1,78,719,0,0,483,117.2,251,74,813,61,20
HIV prevalence,2015,Denton County TX,48121.0,635993,1153,181.3,230,70.5,923,297.8,78,59.5,223,190.4,265,218.1,372,326.7,215,141,0,0,18,35.8,340,577.8,246,221.9,78,767.3,0,0,471,117.1,239,70,771,56,18
HIV prevalence,2014,Denton County TX,48121.0,612628,1047,170.9,224,71.3,823,275.9,64,50,179,157.6,271,228.3,364,332.1,169,118.5,,,16,34.8,293,528.1,212,200.5,72,755.7,,,453,115.4,231,72,678,50,17
HIV prevalence,2013,Denton County TX,48121.0,590061,963,163.2,200,66.1,763,265.2,60,47.9,152,138.8,255,219.2,337,318.3,159,119.3,0,0,18,42.5,265,506.3,190,188.4,72,808.5,0,0,418,109.3,206,64,626,51,17
