Indicator,Year,Full Name,FIPS,Population,All Deaths,All Death Rates,F Diag Cases,F Diag Rates,M Diag Cases,M Diag Rates,13-24 Death Cases,13-24 Death Rates,25-34 Death Cases,25-34 Death Rates,35-44 Death Cases,35-44 Death Rates,45-54 Death Cases,45-54 Death Rates,55+ Death Cases,55+ Death Rates,AI_AN Death Cases,AI_AN Death Rates,Asian Death Cases,Asian Death Rates,Black Death Cases,Black Death Rates,Latino Death Cases,Latino Death Rates,Multi Death Cases,Multi Death Rates,NH_OPI Death Cases,NH_OPI Death Rates,White Death Cases,White Death Rates,M2F Death Cases,ID Death Cases,M2M Death Cases,M2MID Death Cases,O Death Cases
HIV deaths,2014,Georgia,13.0,8288270,913,11.0,280,6.5,633,15.8,13,0.8,77,5.6,143,10.5,284,20.3,396,16.3,0,0,0,0,672,26.7,40,6.1,39,37.9,0,0,162,3.5,324,147,386,50,6
HIV deaths,2013,Georgia,13.0,8187895,836,10.2,245,5.8,591,14.9,11,0.6,76,5.6,140,10.2,294,21,315,13.4,0,0,3,1,602,24.4,29,4.5,51,51.7,0,0,151,3.2,289,127,367,46,7
HIV deaths,2012,Georgia,13.0,8106476,827,10.2,250,6,577,14.7,22,1.3,84,6.2,156,11.3,277,19.8,288,12.7,1,5.3,1,0.4,582,24,36,5.7,32,33.8,0,0,175,3.8,298,133,337,48,12
HIV deaths,2011,Georgia,13.0,8003157,816,10.2,266,6.4,550,14.2,16,1,83,6.2,172,12.4,275,19.6,270,12.3,0,0,0,0,608,25.5,28,4.5,38,42.1,0,0,142,3.1,295,130,337,42,13
HIV deaths,2010,Georgia,13.0,7912814,897,11.3,269,6.6,628,16.4,13,0.8,99,7.4,182,13,327,23.4,276,13,0,0,2,0.8,651,27.8,31,5.1,37,42.8,0,0,176,3.8,319,150,361,61,5
HIV deaths,2009,Georgia,13.0,7937181,967,12.2,261,6.4,706,18.3,10,0.6,105,7.5,273,19,326,23.5,253,12.3,1,4.9,1,0.4,718,30.7,35,6.3,46,65.2,0,0,166,3.5,314,160,419,68,6
HIV deaths,2008,Georgia,13.0,7826920,904,11.5,289,7.2,615,16.1,16,1,82,5.9,255,17.5,314,23.1,237,12,0,0,1,0.5,700,30.5,33,6.2,29,43.2,0,0,141,3,333,164,346,53,7
HIV deaths,2017,Hawaii,15.0,1198339,36,3.0,9,1.5,27,4.5,1,0.5,2,1,4,2.2,11,6.3,18,4.1,0,0,8,1.7,1,4.3,0,0,8,3.9,7,6.3,12,4.3,9,3,16,6,2
HIV deaths,2016,Hawaii,15.0,1200302,39,3.2,3,0.5,36,6,0,0,2,1,3,1.7,13,7.3,21,4.9,0,0,6,1.3,1,4.3,1,1,5,2.4,7,6.4,19,6.7,4,2,30,2,0
HIV deaths,2015,Hawaii,15.0,1193935,32,2.7,2,0.3,30,5,0,0,0,0,4,2.3,8,4.5,20,4.7,0,0,6,1.3,2,8.9,3,3,5,2.4,2,1.8,14,4.9,5,3,15,9,0
HIV deaths,2014,Hawaii,15.0,1187196,44,3.7,5,0.8,39,6.6,0,0,0,0,5,2.8,21,11.6,18,4.4,0,0,2,0.4,4,18.7,4,4,7,3.5,4,3.7,23,8.1,2,8,29,5,0
HIV deaths,2013,Hawaii,15.0,1180667,39,3.3,3,0.5,36,6.1,0,0,0,0,1,0.6,19,10.3,19,4.7,0,0,5,1.1,2,9.7,1,1,4,2,6,5.6,21,7.4,2,6,28,2,0
HIV deaths,2012,Hawaii,15.0,1168924,51,4.4,9,1.5,42,7.2,0,0,2,1,6,3.4,17,9.1,26,6.6,0,0,7,1.5,5,25.4,3,3.2,4,2,6,5.7,26,9.2,7,10,29,4,1
HIV deaths,2011,Hawaii,15.0,1155908,41,3.5,5,0.9,36,6.3,0,0,1,0.5,7,4,10,5.2,23,6,1,39.2,3,0.6,1,5.4,4,4.4,8,4.1,4,3.8,19,6.8,2,9,24,5,1
HIV deaths,2010,Hawaii,15.0,1144087,36,3.1,5,0.9,31,5.4,0,0,2,1.1,6,3.4,13,6.7,15,4,0,0,9,1.9,0,0,2,2.3,2,1,5,4.9,18,6.4,5,5,24,3,0
HIV deaths,2009,Hawaii,15.0,1083032,26,2.4,2,0.4,24,4.4,1,0.5,1,0.5,2,1.2,12,6.8,10,2.9,0,0,6,1.4,2,7.1,4,4.9,2,1.3,2,2.2,10,3.5,2,1,18,5,0
HIV deaths,2008,Hawaii,15.0,1077785,46,4.3,7,1.3,39,7.2,0,0,4,2.1,7,4.1,12,6.7,23,6.8,0,0,5,1.1,1,3.7,6,7.6,10,6.4,8,8.8,16,5.7,8,11,24,3,0
HIV deaths,2017,Idaho,16.0,1402234,19,1.4,4,0.6,15,2.1,0,0,1,0.4,2,0.9,6,3,10,2.1,0,0,0,0,0,0,1,0.6,2,8.7,0,0,16,1.4,5,3,7,3,0
HIV deaths,2016,Idaho,16.0,1369107,12,0.9,1,0.1,11,1.6,0,0,1,0.5,2,1,1,0.5,8,1.7,0,0,0,0,1,11.1,1,0.7,0,0,0,0,10,0.9,1,4,3,4,0
HIV deaths,2015,Idaho,16.0,1339988,14,1.0,3,0.4,11,1.6,0,0,0,0,4,2,6,3,4,0.9,2,13.5,0,0,0,0,1,0.7,0,0,0,0,11,1,4,2,6,3,0
HIV deaths,2014,Idaho,16.0,1320877,21,1.6,3,0.5,18,2.7,2,0.7,0,0,5,2.5,4,2,10,2.3,0,0,0,0,4,49.4,0,0,0,0,0,0,17,1.5,2,4,11,3,2
HIV deaths,2013,Idaho,16.0,1301066,14,1.1,4,0.6,10,1.5,0,0,2,0.9,1,0.5,6,3,5,1.2,0,0,0,0,0,0,4,3,1,5.2,0,0,9,0.8,3,2,7,1,0
HIV deaths,2012,Idaho,16.0,1283965,24,1.9,5,0.8,19,3,1,0.4,1,0.5,4,2.1,11,5.4,7,1.7,0,0,0,0,3,41.3,0,0,1,5.5,0,0,20,1.8,4,5,12,2,1
HIV deaths,2011,Idaho,16.0,1270672,14,1.1,2,0.3,12,1.9,0,0,0,0,5,2.6,6,2.9,3,0.8,0,0,0,0,0,0,1,0.8,0,0,0,0,13,1.2,3,0,8,3,0
HIV deaths,2010,Idaho,16.0,1256890,15,1.2,4,0.6,11,1.8,0,0,1,0.5,7,3.7,4,1.9,3,0.8,0,0,0,0,0,0,3,2.5,0,0,0,0,12,1.1,2,2,7,4,0
HIV deaths,2009,Idaho,16.0,1238079,7,0.6,4,0.6,3,0.5,0,0,0,0,1,0.5,5,2.4,1,0.3,0,0,0,0,0,0,1,0.9,0,0,0,0,6,0.6,4,0,2,1,0
HIV deaths,2008,Idaho,16.0,1223541,16,1.3,2,0.3,14,2.3,0,0,2,1,2,1,9,4.4,3,0.9,2,13.5,0,0,0,0,0,0,1,7.1,0,0,13,1.2,3,1,9,3,0
HIV deaths,2017,Illinois,17.0,10731215,494,4.6,112,2,382,7.3,8,0.4,35,2,56,3.4,132,7.9,263,7.3,0,0,3,0.5,286,19.2,47,2.8,34,26.3,0,0,124,1.8,107,113,219,47,9
HIV deaths,2016,Illinois,17.0,10743318,524,4.9,120,2.2,404,7.7,7,0.3,31,1.7,69,4.2,156,9.1,261,7.4,0,0,1,0.2,272,18.2,66,4,50,39.9,0,0,135,2,93,141,234,46,11
HIV deaths,2015,Illinois,17.0,10756428,545,5.1,124,2.2,421,8,3,0.1,31,1.7,64,3.9,174,10,273,7.8,1,6,1,0.2,292,19.5,70,4.3,45,37.1,0,0,136,2,110,137,239,53,7
HIV deaths,2014,Illinois,17.0,10759859,523,4.9,129,2.3,394,7.5,6,0.3,26,1.4,68,4.1,140,7.9,283,8.3,0,0,2,0.4,302,20.1,60,3.7,46,39.2,0,0,113,1.6,98,136,220,60,9
HIV deaths,2013,Illinois,17.0,10744121,512,4.8,124,2.2,388,7.4,5,0.2,35,1.9,68,4,173,9.6,231,6.9,0,0,1,0.2,288,19.2,65,4.1,32,28.2,0,0,126,1.8,91,146,217,50,9
HIV deaths,2012,Illinois,17.0,10704446,551,5.1,134,2.4,417,8,7,0.3,32,1.8,90,5.3,192,10.5,230,7,0,0,7,1.3,293,19.6,62,4,46,42,0,0,142,2,113,153,226,51,8
HIV deaths,2011,Illinois,17.0,10668059,565,5.3,124,2.3,441,8.5,4,0.2,30,1.7,98,5.8,201,10.9,232,7.3,0,0,2,0.4,308,20.6,53,3.5,40,38,0,0,162,2.3,109,155,231,66,5
HIV deaths,2010,Illinois,17.0,10623897,659,6.2,178,3.3,481,9.3,18,0.8,59,3.3,128,7.4,216,11.6,238,7.7,0,0,0,0,360,24.2,72,4.8,38,37.4,0,0,189,2.7,121,199,260,70,8
HIV deaths,2009,Illinois,17.0,10626004,615,5.8,154,2.8,461,8.9,9,0.4,34,1.9,143,8.1,225,12,204,6.8,0,0,2,0.4,369,24.5,65,4.5,27,30.9,0,0,152,2.1,121,189,225,73,6
HIV deaths,2008,Illinois,17.0,10563388,613,5.8,159,2.9,454,8.8,7,0.3,41,2.3,143,8,246,13.2,176,6,1,5.4,2,0.4,398,26.6,47,3.4,11,13,0,0,154,2.2,109,201,234,59,10
HIV deaths,2017,Indiana,18.0,5540003,190,3.4,31,1.1,159,5.9,4,0.4,13,1.5,24,2.9,61,7.1,88,4.6,0,0,0,0,58,11.6,9,2.7,10,13.7,0,0,113,2.5,36,30,110,14,1
HIV deaths,2016,Indiana,18.0,5510511,197,3.6,48,1.7,149,5.5,1,0.1,17,2,31,3.8,58,6.7,90,4.8,0,0,2,1.6,62,12.5,12,3.7,7,10,0,0,114,2.5,54,33,94,14,2
HIV deaths,2015,Indiana,18.0,5483619,177,3.2,44,1.6,133,5,7,0.6,14,1.7,27,3.3,53,6.1,76,4.2,0,0,0,0,56,11.4,13,4.2,7,10.4,0,0,101,2.3,45,28,88,13,2
HIV deaths,2014,Indiana,18.0,5466488,180,3.3,30,1.1,150,5.6,1,0.1,18,2.1,38,4.6,55,6.2,68,3.8,0,0,1,0.9,63,13,9,3,6,9.3,0,0,101,2.2,34,19,107,18,2
HIV deaths,2013,Indiana,18.0,5436314,181,3.3,34,1.2,147,5.5,2,0.2,18,2.1,33,4,58,6.4,70,4,0,0,0,0,64,13.4,2,0.7,9,14.5,0,0,106,2.4,38,16,108,17,2
HIV deaths,2012,Indiana,18.0,5399958,169,3.1,27,1,142,5.4,2,0.2,14,1.7,27,3.3,64,7,62,3.6,0,0,1,1,60,12.7,8,2.8,7,11.8,1,59.2,92,2.1,27,31,93,15,4
HIV deaths,2011,Indiana,18.0,5371451,199,3.7,35,1.3,164,6.3,1,0.1,13,1.6,52,6.3,64,6.8,69,4.2,0,0,1,1.1,62,13.3,11,4,12,21.3,0,0,112,2.5,44,30,110,13,3
HIV deaths,2010,Indiana,18.0,5340692,171,3.2,36,1.3,135,5.2,2,0.2,14,1.7,53,6.3,66,7,36,2.2,0,0,0,0,59,12.8,10,3.7,9,16.8,0,0,93,2.1,34,25,95,16,2
HIV deaths,2009,Indiana,18.0,5279967,206,3.9,35,1.3,171,6.6,2,0.2,24,2.9,54,6.4,72,7.7,54,3.5,1,7.4,0,0,68,15.1,10,4.1,8,18.4,0,0,119,2.7,35,35,121,15,1
HIV deaths,2008,Indiana,18.0,5246323,202,3.9,43,1.6,159,6.2,2,0.2,28,3.4,59,6.8,61,6.5,52,3.4,0,0,2,2.8,73,16.4,19,8.2,9,21.5,0,0,99,2.2,47,34,101,18,2
HIV deaths,2017,Iowa,19.0,2617029,43,1.6,8,0.6,35,2.7,0,0,0,0,10,2.7,14,3.7,19,2,0,0,1,1.5,10,11.5,3,2.2,3,9.9,0,0,26,1.1,9,3,23,7,0
HIV deaths,2016,Iowa,19.0,2605250,33,1.3,5,0.4,28,2.2,0,0,3,0.8,3,0.8,10,2.6,17,1.8,0,0,0,0,4,4.8,2,1.5,0,0,0,0,27,1.2,5,4,21,3,0
HIV deaths,2015,Iowa,19.0,2595775,36,1.4,3,0.2,33,2.6,0,0,2,0.5,1,0.3,9,2.3,24,2.6,0,0,0,0,3,3.7,0,0,1,3.6,0,0,32,1.4,9,2,21,4,0
HIV deaths,2014,Iowa,19.0,2585119,54,2.1,7,0.5,47,3.7,0,0,2,0.5,8,2.2,19,4.7,25,2.8,0,0,1,1.7,8,10.4,3,2.5,2,7.5,0,0,40,1.7,9,7,33,4,1
HIV deaths,2013,Iowa,19.0,2570198,43,1.7,11,0.8,32,2.5,0,0,2,0.5,6,1.7,14,3.4,21,2.4,0,0,1,1.8,6,8.1,1,0.9,0,0,0,0,35,1.5,11,8,17,7,1
HIV deaths,2012,Iowa,19.0,2553591,43,1.7,7,0.5,36,2.9,0,0,6,1.5,11,3.1,18,4.3,8,0.9,0,0,2,3.9,7,10,2,1.8,2,8.4,0,0,30,1.3,5,9,23,5,1
HIV deaths,2011,Iowa,19.0,2543043,37,1.5,9,0.7,28,2.2,1,0.2,3,0.8,7,1.9,11,2.5,15,1.8,0,0,0,0,5,7.3,3,2.8,1,4.4,0,0,28,1.2,4,10,20,2,0
HIV deaths,2010,Iowa,19.0,2526684,28,1.1,6,0.5,22,1.8,0,0,0,0,3,0.8,14,3.2,11,1.3,0,0,0,0,2,3,2,1.9,1,4.7,0,0,23,1,2,7,15,3,0
HIV deaths,2009,Iowa,19.0,2496048,37,1.5,5,0.4,32,2.6,0,0,0,0,11,3,15,3.4,11,1.4,0,0,0,0,6,10.3,4,4.4,2,11.3,0,0,25,1.1,5,7,22,3,0
HIV deaths,2008,Iowa,19.0,2486127,25,1.0,4,0.3,21,1.7,1,0.2,2,0.6,8,2.1,6,1.4,8,1,0,0,0,0,3,5.3,1,1.2,1,5.9,0,0,20,0.9,3,6,13,2,1
HIV deaths,2017,Kansas,20.0,2397743,47,2.0,10,0.8,37,3.1,1,0.2,4,1,6,1.7,13,3.8,23,2.8,0,0,0,0,11,8.1,6,2.4,1,2.1,0,0,29,1.5,10,4,29,4,0
HIV deaths,2016,Kansas,20.0,2393712,49,2.0,6,0.5,43,3.6,0,0,2,0.5,7,2,16,4.5,24,3,1,5.2,1,1.4,10,7.4,8,3.3,1,2.2,0,0,28,1.5,7,6,31,5,0
HIV deaths,2015,Kansas,20.0,2388086,51,2.1,12,1,39,3.3,0,0,2,0.5,7,2,13,3.6,29,3.7,1,5.2,0,0,12,8.8,2,0.8,3,6.9,0,0,33,1.8,9,7,29,6,0
HIV deaths,2014,Kansas,20.0,2377652,46,1.9,8,0.7,38,3.2,0,0,8,2.1,8,2.3,12,3.3,18,2.3,0,0,0,0,8,5.9,5,2.2,1,2.4,0,0,31,1.6,8,3,28,7,0
HIV deaths,2013,Kansas,20.0,2367607,56,2.4,13,1.1,43,3.7,2,0.4,3,0.8,5,1.5,28,7.4,18,2.4,0,0,1,1.6,11,8.2,9,4,2,4.9,0,0,33,1.8,13,8,26,8,0
HIV deaths,2012,Kansas,20.0,2356616,44,1.9,9,0.8,35,3,0,0,3,0.8,6,1.7,17,4.4,18,2.4,1,5.2,0,0,11,8.3,7,3.2,0,0,0,0,25,1.3,9,5,22,8,0
HIV deaths,2011,Kansas,20.0,2340115,46,2.0,9,0.8,37,3.2,0,0,2,0.5,13,3.8,22,5.5,9,1.2,0,0,0,0,11,8.4,4,1.9,1,2.6,0,0,30,1.6,7,7,21,11,0
HIV deaths,2010,Kansas,20.0,2329143,49,2.1,7,0.6,42,3.7,2,0.4,6,1.6,10,2.9,13,3.2,18,2.5,0,0,0,0,14,10.7,2,1,5,13.6,0,0,28,1.5,5,5,33,5,1
HIV deaths,2009,Kansas,20.0,2305964,41,1.8,5,0.4,36,3.2,0,0,3,0.8,10,2.9,18,4.5,10,1.5,0,0,0,0,6,4.6,3,1.6,2,6.8,0,0,30,1.6,5,6,26,4,0
HIV deaths,2008,Kansas,20.0,2290014,58,2.5,3,0.3,55,4.9,0,0,3,0.8,16,4.5,18,4.4,21,3.1,0,0,0,0,19,14.8,4,2.3,3,10.5,0,0,31,1.6,3,11,39,5,1
HIV deaths,2017,Kentucky,21.0,3728831,130,3.5,30,1.6,100,5.5,0,0,11,1.9,17,3.1,40,6.8,62,4.8,0,0,0,0,41,13.9,2,1.7,7,14.8,0,0,80,2.5,28,21,71,10,1
HIV deaths,2016,Kentucky,21.0,3712013,122,3.3,24,1.3,98,5.4,2,0.3,7,1.2,14,2.5,50,8.4,49,3.8,0,0,2,3.7,45,15.5,5,4.5,4,8.8,0,0,66,2.1,21,20,72,8,0
HIV deaths,2015,Kentucky,21.0,3699491,123,3.3,20,1.1,103,5.7,2,0.3,7,1.2,25,4.5,42,7,47,3.7,0,0,0,0,45,15.6,5,4.6,4,9.2,0,0,69,2.2,22,17,63,17,4
HIV deaths,2014,Kentucky,21.0,3686449,119,3.2,31,1.6,88,4.9,1,0.1,10,1.8,23,4.1,44,7.2,41,3.3,0,0,0,0,38,13.3,3,2.9,5,12,1,52.2,72,2.3,32,18,62,6,0
HIV deaths,2013,Kentucky,21.0,3673716,120,3.3,29,1.5,91,5.1,1,0.1,9,1.6,26,4.6,50,8.1,34,2.8,0,0,0,0,40,14.1,4,3.9,4,10,0,0,72,2.3,19,31,58,11,1
HIV deaths,2012,Kentucky,21.0,3652563,117,3.2,21,1.1,96,5.4,3,0.4,13,2.3,19,3.4,46,7.3,36,3.1,0,0,0,0,39,14,2,2,4,10.5,0,0,71,2.2,24,17,67,8,1
HIV deaths,2011,Kentucky,21.0,3632735,110,3.0,20,1.1,90,5.1,1,0.1,8,1.4,26,4.6,43,6.7,32,2.8,0,0,0,0,37,13.5,3,3.1,6,16.4,0,0,64,2,22,16,67,3,2
HIV deaths,2010,Kentucky,21.0,3610828,119,3.3,24,1.3,95,5.4,3,0.4,13,2.3,25,4.3,48,7.5,30,2.7,0,0,1,2.5,47,17.4,6,6.4,4,11.5,0,0,61,1.9,28,22,52,17,0
HIV deaths,2009,Kentucky,21.0,3583570,125,3.5,19,1,106,6.1,2,0.3,7,1.2,31,5.3,46,7.2,39,3.6,0,0,0,0,40,15.1,5,6.4,4,14.6,0,0,76,2.4,15,25,75,9,1
HIV deaths,2008,Kentucky,21.0,3559663,137,3.8,34,1.9,103,6,3,0.4,17,3,27,4.5,50,7.9,40,3.8,1,12.4,0,0,49,18.9,6,8.1,2,7.6,0,0,79,2.5,36,30,60,9,2
HIV deaths,2017,Louisiana,22.0,3868605,399,10.3,129,6.5,270,14.4,7,1,39,5.8,67,11.6,118,20.4,168,12.9,1,4,1,1.5,268,22.1,7,3.9,9,21.7,0,0,113,4.8,167,64,138,26,4
HIV deaths,2016,Louisiana,22.0,3871344,419,10.8,118,5.9,301,16,5,0.7,55,8.1,76,13.3,120,20.3,163,12.7,1,4,1,1.5,301,24.9,9,5.1,5,12.4,0,0,102,4.3,163,77,149,27,3
HIV deaths,2015,Louisiana,22.0,3858097,420,10.9,121,6.1,299,16,9,1.2,55,8.1,73,12.9,125,20.8,158,12.6,1,4.1,1,1.5,318,26.5,3,1.7,9,23.1,0,0,87,3.7,177,78,129,29,7
HIV deaths,2014,Louisiana,22.0,3839337,422,11.0,137,6.9,285,15.3,13,1.7,52,7.8,85,15.1,120,19.6,152,12.5,0,0,0,0,325,27.2,9,5.3,7,18.6,0,0,81,3.5,164,89,146,21,2
HIV deaths,2013,Louisiana,22.0,3819669,416,10.9,122,6.2,294,15.9,13,1.7,46,6.9,92,16.4,145,23.3,120,10.1,1,4.2,2,3.1,314,26.5,10,6,7,19.3,0,0,82,3.5,163,89,134,23,7
HIV deaths,2012,Louisiana,22.0,3793129,470,12.4,144,7.4,326,17.7,4,0.5,63,9.6,99,17.7,148,23.3,156,13.4,1,4.2,0,0,334,28.5,7,4.4,10,28.6,0,0,118,5,193,95,147,30,6
HIV deaths,2011,Louisiana,22.0,3766665,473,12.6,133,6.9,340,18.6,9,1.1,52,8.1,95,16.9,167,25.9,150,13.2,0,0,0,0,341,29.4,14,8.9,8,23.7,0,0,110,4.7,180,93,161,34,6
HIV deaths,2010,Louisiana,22.0,3737428,456,12.2,144,7.5,312,17.2,9,1.1,52,8.2,115,20.4,166,25.4,114,10.4,0,0,0,0,316,27.5,10,6.6,12,36.9,0,0,118,5.1,160,106,151,33,6
HIV deaths,2009,Louisiana,22.0,3680921,539,14.6,164,8.6,375,21.2,10,1.3,73,11.7,146,26,186,28.9,124,11.7,2,9.3,1,1.9,381,33.7,7,5.6,16,58.9,0,0,132,5.7,197,112,180,39,11
HIV deaths,2008,Louisiana,22.0,3648291,484,13.3,146,7.7,338,19.3,16,2,58,9.6,145,25.3,162,25.2,103,9.9,2,9.5,0,0,359,32.2,9,7.6,9,34.6,0,0,105,4.5,173,99,167,34,11
HIV deaths,2017,Maine,23.0,1157986,35,3.0,10,1.7,25,4.4,0,0,2,1.3,2,1.3,8,4.3,23,4.8,0,0,0,0,1,6.8,2,11.8,1,6.8,0,0,31,2.8,7,8,16,3,2
HIV deaths,2016,Maine,23.0,1153307,23,2.0,5,0.8,18,3.2,0,0,0,0,3,2,9,4.7,11,2.3,0,0,0,0,2,14,2,12.3,1,7,0,0,18,1.7,3,7,14,0,0
HIV deaths,2015,Maine,23.0,1149501,19,1.7,1,0.2,18,3.2,0,0,0,0,1,0.7,10,5.1,8,1.7,0,0,0,0,0,0,3,19.2,0,0,0,0,16,1.5,1,5,12,0,1
HIV deaths,2014,Maine,23.0,1150000,19,1.7,3,0.5,16,2.9,0,0,0,0,0,0,3,1.5,16,3.6,0,0,0,0,1,7.6,1,6.6,0,0,0,0,17,1.6,2,3,12,1,0
HIV deaths,2013,Maine,23.0,1145689,30,2.6,4,0.7,26,4.7,0,0,1,0.7,7,4.4,8,3.9,14,3.2,0,0,0,0,1,8,2,14.2,3,22.7,0,0,24,2.2,4,7,16,3,0
HIV deaths,2012,Maine,23.0,1142956,19,1.7,2,0.3,17,3.1,0,0,2,1.4,1,0.6,6,2.9,10,2.3,0,0,0,0,0,0,2,15,0,0,0,0,17,1.6,2,4,11,1,1
HIV deaths,2011,Maine,23.0,1140816,24,2.1,2,0.3,22,4,0,0,0,0,5,3,4,1.9,15,3.6,1,14.6,1,8.6,2,17.2,1,7.8,0,0,0,0,19,1.8,2,3,15,4,0
HIV deaths,2010,Maine,23.0,1137673,22,1.9,2,0.3,20,3.6,0,0,0,0,5,2.9,7,3.2,10,2.5,0,0,0,0,1,9.1,2,16.3,0,0,0,0,19,1.8,3,3,11,4,0
HIV deaths,2009,Maine,23.0,1130458,24,2.1,2,0.3,22,4,0,0,2,1.3,4,2.3,10,4.6,8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,24,2.2,0,4,15,3,1
HIV deaths,2008,Maine,23.0,1129848,26,2.3,4,0.7,22,4,1,0.5,2,1.3,6,3.3,10,4.6,7,1.8,0,0,0,0,4,43.1,2,15.8,1,11.9,0,0,19,1.8,1,11,12,1,1
HIV deaths,2017,Maryland,24.0,5060236,595,11.8,196,7.4,399,16.4,3,0.3,45,5.4,60,7.8,156,18.6,331,19.4,0,0,1,0.3,409,27.3,26,5.8,75,81.7,0,0,84,3.1,181,228,136,44,7
HIV deaths,2016,Maryland,24.0,5039003,641,12.7,180,6.9,461,19.1,7,0.8,28,3.4,66,8.7,185,21.6,355,21.2,0,0,0,0,457,30.8,24,5.5,79,88.9,0,0,81,3,170,272,153,41,5
HIV deaths,2015,Maryland,24.0,5021726,546,10.9,183,7,363,15.1,2,0.2,26,3.1,50,6.6,182,21,286,17.5,0,0,1,0.3,391,26.6,19,4.5,71,82.4,0,0,64,2.4,155,242,112,33,5
HIV deaths,2014,Maryland,24.0,4994516,591,11.8,196,7.5,395,16.5,2,0.2,31,3.8,73,9.5,184,21,301,18.9,0,0,1,0.3,414,28.5,31,7.6,54,64.8,2,82,89,3.3,167,272,121,27,5
HIV deaths,2013,Maryland,24.0,4962705,614,12.4,205,7.9,409,17.2,6,0.6,34,4.2,70,9.1,226,25.4,278,18,0,0,0,0,447,31.1,20,5,72,89.2,0,0,75,2.7,175,247,151,37,4
HIV deaths,2012,Maryland,24.0,4924611,632,12.8,210,8.2,422,17.9,10,1.1,34,4.2,92,11.9,233,26,263,17.5,0,0,0,0,464,32.7,27,7,65,83.5,0,0,76,2.8,178,267,141,40,6
HIV deaths,2011,Maryland,24.0,4877694,583,12.0,181,7.1,402,17.2,4,0.4,30,3.8,92,11.8,219,24.3,238,16.3,0,0,1,0.4,436,31.1,29,7.8,50,66.7,1,43.8,66,2.4,155,258,125,39,6
HIV deaths,2010,Maryland,24.0,4830144,613,12.7,209,8.3,404,17.5,10,1,27,3.5,109,13.7,247,27.3,220,15.6,1,8.4,1,0.4,473,34.2,13,3.6,38,52.7,0,0,87,3.2,160,290,123,31,8
HIV deaths,2009,Maryland,24.0,4733633,680,14.4,202,8.2,478,21,10,1.1,43,5.7,136,17,280,31.6,211,15.6,0,0,2,0.8,541,39.9,16,5.4,38,72.5,0,0,83,3,175,333,126,41,6
HIV deaths,2008,Maryland,24.0,4697010,745,15.9,240,9.8,505,22.4,15,1.6,50,6.7,153,18.5,326,37.2,201,15.2,0,0,1,0.4,607,45.3,21,7.4,28,55.3,0,0,88,3.2,186,362,153,38,7
HIV deaths,2017,Massachusetts,25.0,5899032,297,5.0,80,2.6,217,7.6,3,0.3,8,0.8,18,2.2,78,8.3,190,9.3,2,19.1,2,0.5,65,16,84,13.3,5,6.1,0,0,139,3.2,51,129,87,24,5
HIV deaths,2016,Massachusetts,25.0,5857445,292,5.0,76,2.5,216,7.7,0,0,5,0.5,17,2.1,87,9,183,9.2,0,0,2,0.5,77,19.4,51,8.4,8,10.2,0,0,154,3.5,48,136,88,18,2
HIV deaths,2015,Massachusetts,25.0,5821545,298,5.1,73,2.4,225,8,1,0.1,9,0.9,23,2.8,93,9.5,172,8.8,0,0,1,0.3,82,21.1,68,11.6,8,10.6,0,0,139,3.2,46,141,93,15,4
HIV deaths,2014,Massachusetts,25.0,5785038,263,4.5,64,2.1,199,7.2,1,0.1,16,1.7,26,3.1,82,8.3,138,7.2,0,0,1,0.3,64,16.9,70,12.4,5,6.8,0,0,123,2.8,35,124,82,16,6
HIV deaths,2013,Massachusetts,25.0,5730770,269,4.7,69,2.3,200,7.3,2,0.2,8,0.9,17,2,105,10.5,137,7.4,0,0,2,0.6,70,18.9,68,12.5,3,4.2,0,0,126,2.9,42,128,80,14,5
HIV deaths,2012,Massachusetts,25.0,5676159,267,4.7,83,2.8,184,6.8,2,0.2,8,0.9,32,3.8,119,11.8,106,5.9,0,0,2,0.6,62,17.2,68,13,4,5.9,0,0,131,3,42,135,69,17,4
HIV deaths,2011,Massachusetts,25.0,5622961,261,4.6,73,2.5,188,7,3,0.3,4,0.5,50,5.8,101,10,103,5.9,0,0,0,0,64,18.2,75,15,4,6.2,0,0,118,2.7,47,125,58,27,5
HIV deaths,2010,Massachusetts,25.0,5573257,281,5.0,84,2.9,197,7.4,1,0.1,10,1.2,53,6,108,10.7,109,6.3,2,20.4,3,1,70,20.4,74,15.4,4,6.4,0,0,128,2.9,38,150,75,14,4
HIV deaths,2009,Massachusetts,25.0,5580663,299,5.4,94,3.2,205,7.6,0,0,9,1.1,60,6.4,122,11.9,108,6.4,0,0,7,2.6,70,22,75,17.1,4,7.8,0,0,143,3.2,52,159,75,12,2
HIV deaths,2008,Massachusetts,25.0,5531920,297,5.4,76,2.6,221,8.3,2,0.2,12,1.4,73,7.6,123,12.1,87,5.3,1,9,4,1.5,78,25,73,17.3,3,6,0,0,138,3.1,46,159,73,16,4
HIV deaths,2017,Michigan,26.0,8441967,272,3.2,62,1.4,210,5.1,5,0.3,22,1.7,35,3,80,6,130,4.2,0,0,0,0,159,14.1,13,3.5,12,8.5,0,0,88,1.4,61,48,148,11,4
