Year,Full Name,FIPS,All Diag Cases,All Diag Rates,Population,Indicator
2009,Allen County OH,39003.0,6,7,86135,HIV diagnoses
2008,Allen County OH,39003.0,8,9.3,86406,HIV diagnoses
2018,Allen County KY,21003.0,,,,HIV diagnoses
2017,Allen County KY,21003.0,,,,HIV diagnoses
2016,Allen County KY,21003.0,,,,HIV diagnoses
2015,Allen County KY,21003.0,,,,HIV diagnoses
2014,Allen County KY,21003.0,,,,HIV diagnoses
2013,Allen County KY,21003.0,,,,HIV diagnoses
2012,Allen County KY,21003.0,,,,HIV diagnoses
2011,Allen County KY,21003.0,,,,HIV diagnoses
2010,Allen County KY,21003.0,,,,HIV diagnoses
2009,Allen County KY,21003.0,,,,HIV diagnoses
2008,Allen County KY,21003.0,,,,HIV diagnoses
2018,Allen Parish LA,22003.0,,,,HIV diagnoses
2017,Allen Parish LA,22003.0,,,,HIV diagnoses
2016,Allen Parish LA,22003.0,,,,HIV diagnoses
2015,Allen Parish LA,22003.0,0,0,21468,HIV diagnoses
2014,Allen Parish LA,22003.0,,,,HIV diagnoses
2013,Allen Parish LA,22003.0,5,23.3,21483,HIV diagnoses
2012,Allen Parish LA,22003.0,,,,HIV diagnoses
2011,Allen Parish LA,22003.0,,,,HIV diagnoses
2010,Allen Parish LA,22003.0,,,,HIV diagnoses
2009,Allen Parish LA,22003.0,,,,HIV diagnoses
2008,Allen Parish LA,22003.0,6,28.1,21383,HIV diagnoses
2018,Allendale County SC,45005.0,,,,HIV diagnoses
2017,Allendale County SC,45005.0,0,0,7808,HIV diagnoses
2016,Allendale County SC,45005.0,,,,HIV diagnoses
2015,Allendale County SC,45005.0,,,,HIV diagnoses
2014,Allendale County SC,45005.0,,,,HIV diagnoses
2013,Allendale County SC,45005.0,0,0,8442,HIV diagnoses
2012,Allendale County SC,45005.0,,,,HIV diagnoses
2011,Allendale County SC,45005.0,,,,HIV diagnoses
2010,Allendale County SC,45005.0,,,,HIV diagnoses
2009,Allendale County SC,45005.0,5,58.9,8485,HIV diagnoses
2008,Allendale County SC,45005.0,,,,HIV diagnoses
2018,Alpena County MI,26007.0,0,0,24709,HIV diagnoses
2017,Alpena County MI,26007.0,0,0,24726,HIV diagnoses
2016,Alpena County MI,26007.0,0,0,24886,HIV diagnoses
2015,Alpena County MI,26007.0,,,,HIV diagnoses
2014,Alpena County MI,26007.0,0,0,25033,HIV diagnoses
2013,Alpena County MI,26007.0,,,,HIV diagnoses
2012,Alpena County MI,26007.0,,,,HIV diagnoses
2011,Alpena County MI,26007.0,0,0,25199,HIV diagnoses
2010,Alpena County MI,26007.0,0,0,25308,HIV diagnoses
2009,Alpena County MI,26007.0,,,,HIV diagnoses
2008,Alpena County MI,26007.0,0,0,25366,HIV diagnoses
2018,Alpine County CA,6003.0,0,0,980,HIV diagnoses
2017,Alpine County CA,6003.0,0,0,984,HIV diagnoses
2016,Alpine County CA,6003.0,0,0,929,HIV diagnoses
2015,Alpine County CA,6003.0,0,0,945,HIV diagnoses
2014,Alpine County CA,6003.0,0,0,933,HIV diagnoses
2013,Alpine County CA,6003.0,0,0,961,HIV diagnoses
2012,Alpine County CA,6003.0,0,0,934,HIV diagnoses
2011,Alpine County CA,6003.0,0,0,939,HIV diagnoses
2010,Alpine County CA,6003.0,0,0,971,HIV diagnoses
2009,Alpine County CA,6003.0,0,0,887,HIV diagnoses
2008,Alpine County CA,6003.0,0,0,913,HIV diagnoses
2018,Amador County CA,6005.0,,,,HIV diagnoses
2017,Amador County CA,6005.0,,,,HIV diagnoses
2016,Amador County CA,6005.0,,,,HIV diagnoses
2015,Amador County CA,6005.0,,,,HIV diagnoses
2014,Amador County CA,6005.0,0,0,32841,HIV diagnoses
2013,Amador County CA,6005.0,,,,HIV diagnoses
2012,Amador County CA,6005.0,,,,HIV diagnoses
2011,Amador County CA,6005.0,0,0,33497,HIV diagnoses
2010,Amador County CA,6005.0,0,0,33724,HIV diagnoses
2009,Amador County CA,6005.0,,,,HIV diagnoses
2008,Amador County CA,6005.0,,,,HIV diagnoses
2018,Amelia County VA,51007.0,,,,HIV diagnoses
2017,Amelia County VA,51007.0,0,0,11100,HIV diagnoses
2016,Amelia County VA,51007.0,,,,HIV diagnoses
2015,Amelia County VA,51007.0,0,0,10867,HIV diagnoses
2014,Amelia County VA,51007.0,,,,HIV diagnoses
2013,Amelia County VA,51007.0,,,,HIV diagnoses
2012,Amelia County VA,51007.0,,,,HIV diagnoses
2011,Amelia County VA,51007.0,,,,HIV diagnoses
2010,Amelia County VA,51007.0,0,0,10735,HIV diagnoses
2009,Amelia County VA,51007.0,0,0,10814,HIV diagnoses
2008,Amelia County VA,51007.0,0,0,10777,HIV diagnoses
2018,Amherst County VA,51009.0,,,,HIV diagnoses
2017,Amherst County VA,51009.0,0,0,27411,HIV diagnoses
2016,Amherst County VA,51009.0,,,,HIV diagnoses
2015,Amherst County VA,51009.0,,,,HIV diagnoses
2014,Amherst County VA,51009.0,,,,HIV diagnoses
2013,Amherst County VA,51009.0,,,,HIV diagnoses
2012,Amherst County VA,51009.0,,,,HIV diagnoses
2011,Amherst County VA,51009.0,,,,HIV diagnoses
2010,Amherst County VA,51009.0,0,0,27647,HIV diagnoses
2009,Amherst County VA,51009.0,,,,HIV diagnoses
2008,Amherst County VA,51009.0,,,,HIV diagnoses
2018,Amite County MS,28005.0,,,,HIV diagnoses
2017,Amite County MS,28005.0,0,0,10605,HIV diagnoses
2016,Amite County MS,28005.0,0,0,10553,HIV diagnoses
2015,Amite County MS,28005.0,,,,HIV diagnoses
2014,Amite County MS,28005.0,,,,HIV diagnoses
2013,Amite County MS,28005.0,0,0,10808,HIV diagnoses
2012,Amite County MS,28005.0,,,,HIV diagnoses
2011,Amite County MS,28005.0,,,,HIV diagnoses
2010,Amite County MS,28005.0,,,,HIV diagnoses
2009,Amite County MS,28005.0,5,45.6,10954,HIV diagnoses
2008,Amite County MS,28005.0,,,,HIV diagnoses
2018,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2017,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2016,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2015,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2014,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2013,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2012,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2011,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2010,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2009,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2008,Anchorage Municipality AK,2020.0,,,,HIV diagnoses
2018,Anderson County TX,48001.0,15,29.9,50145,HIV diagnoses
2017,Anderson County TX,48001.0,17,33.9,50207,HIV diagnoses
2016,Anderson County TX,48001.0,15,30.3,49517,HIV diagnoses
2015,Anderson County TX,48001.0,24,48.2,49749,HIV diagnoses
2014,Anderson County TX,48001.0,14,28,49960,HIV diagnoses
2013,Anderson County TX,48001.0,13,26,49973,HIV diagnoses
2012,Anderson County TX,48001.0,21,42,49942,HIV diagnoses
2011,Anderson County TX,48001.0,21,41.9,50138,HIV diagnoses
2010,Anderson County TX,48001.0,26,51.8,50231,HIV diagnoses
2009,Anderson County TX,48001.0,26,53.6,48489,HIV diagnoses
2008,Anderson County TX,48001.0,25,51.8,48253,HIV diagnoses
2018,Anderson County TN,47001.0,6,9.2,65187,HIV diagnoses
2017,Anderson County TN,47001.0,,,,HIV diagnoses
2016,Anderson County TN,47001.0,,,,HIV diagnoses
2015,Anderson County TN,47001.0,6,9.3,64240,HIV diagnoses
2014,Anderson County TN,47001.0,,,,HIV diagnoses
2013,Anderson County TN,47001.0,7,10.9,63982,HIV diagnoses
2012,Anderson County TN,47001.0,,,,HIV diagnoses
2011,Anderson County TN,47001.0,,,,HIV diagnoses
2010,Anderson County TN,47001.0,7,11,63525,HIV diagnoses
2009,Anderson County TN,47001.0,5,7.9,62899,HIV diagnoses
2008,Anderson County TN,47001.0,,,,HIV diagnoses
2018,Anderson County SC,45007.0,10,6,167895,HIV diagnoses
2017,Anderson County SC,45007.0,14,8.4,165910,HIV diagnoses
2016,Anderson County SC,45007.0,18,11,163665,HIV diagnoses
2015,Anderson County SC,45007.0,8,4.9,161876,HIV diagnoses
2014,Anderson County SC,45007.0,20,12.5,160225,HIV diagnoses
2013,Anderson County SC,45007.0,17,10.7,158416,HIV diagnoses
2012,Anderson County SC,45007.0,15,9.5,157201,HIV diagnoses
2011,Anderson County SC,45007.0,8,5.1,156294,HIV diagnoses
2010,Anderson County SC,45007.0,14,9,155050,HIV diagnoses
2009,Anderson County SC,45007.0,16,10.5,152844,HIV diagnoses
2008,Anderson County SC,45007.0,15,9.9,151245,HIV diagnoses
2018,Anderson County KS,20003.0,,,,HIV diagnoses
2017,Anderson County KS,20003.0,0,0,6437,HIV diagnoses
2016,Anderson County KS,20003.0,0,0,6441,HIV diagnoses
2015,Anderson County KS,20003.0,0,0,6435,HIV diagnoses
2014,Anderson County KS,20003.0,0,0,6448,HIV diagnoses
2013,Anderson County KS,20003.0,0,0,6430,HIV diagnoses
2012,Anderson County KS,20003.0,0,0,6458,HIV diagnoses
2011,Anderson County KS,20003.0,0,0,6576,HIV diagnoses
2010,Anderson County KS,20003.0,0,0,6611,HIV diagnoses
2009,Anderson County KS,20003.0,0,0,6431,HIV diagnoses
2008,Anderson County KS,20003.0,,,,HIV diagnoses
2018,Anderson County KY,21005.0,,,,HIV diagnoses
2017,Anderson County KY,21005.0,,,,HIV diagnoses
2016,Anderson County KY,21005.0,,,,HIV diagnoses
2015,Anderson County KY,21005.0,,,,HIV diagnoses
2014,Anderson County KY,21005.0,,,,HIV diagnoses
2013,Anderson County KY,21005.0,,,,HIV diagnoses
2012,Anderson County KY,21005.0,,,,HIV diagnoses
2011,Anderson County KY,21005.0,,,,HIV diagnoses
2010,Anderson County KY,21005.0,,,,HIV diagnoses
2009,Anderson County KY,21005.0,,,,HIV diagnoses
2008,Anderson County KY,21005.0,,,,HIV diagnoses
2018,Andrew County MO,29003.0,0,0,14748,HIV diagnoses
2017,Andrew County MO,29003.0,,,,HIV diagnoses
2016,Andrew County MO,29003.0,0,0,14547,HIV diagnoses
2015,Andrew County MO,29003.0,0,0,14550,HIV diagnoses
2014,Andrew County MO,29003.0,0,0,14546,HIV diagnoses
2013,Andrew County MO,29003.0,0,0,14560,HIV diagnoses
2012,Andrew County MO,29003.0,0,0,14504,HIV diagnoses
2011,Andrew County MO,29003.0,0,0,14398,HIV diagnoses
2010,Andrew County MO,29003.0,0,0,14465,HIV diagnoses
2009,Andrew County MO,29003.0,,,,HIV diagnoses
2008,Andrew County MO,29003.0,0,0,14094,HIV diagnoses
2018,Andrews County TX,48003.0,0,0,14064,HIV diagnoses
2017,Andrews County TX,48003.0,,,,HIV diagnoses
2016,Andrews County TX,48003.0,,,,HIV diagnoses
2015,Andrews County TX,48003.0,0,0,13928,HIV diagnoses
2014,Andrews County TX,48003.0,0,0,13485,HIV diagnoses
2013,Andrews County TX,48003.0,0,0,12994,HIV diagnoses
2012,Andrews County TX,48003.0,0,0,12568,HIV diagnoses
2011,Andrews County TX,48003.0,0,0,12068,HIV diagnoses
2010,Andrews County TX,48003.0,,,,HIV diagnoses
2009,Andrews County TX,48003.0,,,,HIV diagnoses
2008,Andrews County TX,48003.0,,,,HIV diagnoses
2018,Androscoggin County ME,23001.0,,,,HIV diagnoses
2017,Androscoggin County ME,23001.0,,,,HIV diagnoses
2016,Androscoggin County ME,23001.0,11,12.2,90335,HIV diagnoses
2015,Androscoggin County ME,23001.0,,,,HIV diagnoses
2014,Androscoggin County ME,23001.0,,,,HIV diagnoses
2013,Androscoggin County ME,23001.0,6,6.7,90146,HIV diagnoses
2012,Androscoggin County ME,23001.0,5,5.5,90226,HIV diagnoses
2011,Androscoggin County ME,23001.0,,,,HIV diagnoses
2010,Androscoggin County ME,23001.0,8,8.9,90279,HIV diagnoses
2009,Androscoggin County ME,23001.0,6,6.7,89758,HIV diagnoses
2008,Androscoggin County ME,23001.0,7,7.8,90058,HIV diagnoses
2018,Angelina County TX,48005.0,13,18.3,71115,HIV diagnoses
2017,Angelina County TX,48005.0,12,16.8,71454,HIV diagnoses
2016,Angelina County TX,48005.0,8,11.2,71365,HIV diagnoses
2015,Angelina County TX,48005.0,8,11.2,71360,HIV diagnoses
2014,Angelina County TX,48005.0,10,14.1,71154,HIV diagnoses
2013,Angelina County TX,48005.0,7,9.9,70751,HIV diagnoses
2012,Angelina County TX,48005.0,8,11.3,70740,HIV diagnoses
2011,Angelina County TX,48005.0,13,18.5,70456,HIV diagnoses
2010,Angelina County TX,48005.0,14,20,70044,HIV diagnoses
2009,Angelina County TX,48005.0,10,14.9,67079,HIV diagnoses
2008,Angelina County TX,48005.0,6,9,66508,HIV diagnoses
2018,Anne Arundel County MD,24003.0,46,9.5,483035,HIV diagnoses
2017,Anne Arundel County MD,24003.0,45,9.4,479358,HIV diagnoses
2016,Anne Arundel County MD,24003.0,49,10.3,475892,HIV diagnoses
2015,Anne Arundel County MD,24003.0,60,12.7,472232,HIV diagnoses
2014,Anne Arundel County MD,24003.0,56,12,468609,HIV diagnoses
2013,Anne Arundel County MD,24003.0,56,12.1,464146,HIV diagnoses
2012,Anne Arundel County MD,24003.0,46,10,459040,HIV diagnoses
2011,Anne Arundel County MD,24003.0,65,14.3,453888,HIV diagnoses
2010,Anne Arundel County MD,24003.0,90,20,449421,HIV diagnoses
2009,Anne Arundel County MD,24003.0,94,21.7,433929,HIV diagnoses
2008,Anne Arundel County MD,24003.0,101,23.5,429268,HIV diagnoses
2018,Anoka County MN,27003.0,14,4.8,293927,HIV diagnoses
2017,Anoka County MN,27003.0,16,5.5,290789,HIV diagnoses
2016,Anoka County MN,27003.0,18,6.3,287300,HIV diagnoses
2015,Anoka County MN,27003.0,13,4.6,284898,HIV diagnoses
2014,Anoka County MN,27003.0,20,7.1,282569,HIV diagnoses
2013,Anoka County MN,27003.0,12,4.3,279726,HIV diagnoses
2012,Anoka County MN,27003.0,9,3.3,276564,HIV diagnoses
2011,Anoka County MN,27003.0,17,6.2,272959,HIV diagnoses
2010,Anoka County MN,27003.0,8,3,270850,HIV diagnoses
2009,Anoka County MN,27003.0,19,7,272179,HIV diagnoses
2008,Anoka County MN,27003.0,6,2.2,269267,HIV diagnoses
2018,Anson County NC,37007.0,,,,HIV diagnoses
2017,Anson County NC,37007.0,,,,HIV diagnoses
2016,Anson County NC,37007.0,5,23,21730,HIV diagnoses
2015,Anson County NC,37007.0,,,,HIV diagnoses
2014,Anson County NC,37007.0,,,,HIV diagnoses
2013,Anson County NC,37007.0,5,22.6,22134,HIV diagnoses
2012,Anson County NC,37007.0,,,,HIV diagnoses
2011,Anson County NC,37007.0,,,,HIV diagnoses
2010,Anson County NC,37007.0,,,,HIV diagnoses
2009,Anson County NC,37007.0,,,,HIV diagnoses
2008,Anson County NC,37007.0,,,,HIV diagnoses
2018,Antelope County NE,31003.0,0,0,5231,HIV diagnoses
2017,Antelope County NE,31003.0,0,0,5241,HIV diagnoses
2016,Antelope County NE,31003.0,,,,HIV diagnoses
2015,Antelope County NE,31003.0,0,0,5334,HIV diagnoses
2014,Antelope County NE,31003.0,0,0,5347,HIV diagnoses
2013,Antelope County NE,31003.0,0,0,5398,HIV diagnoses
2012,Antelope County NE,31003.0,0,0,5462,HIV diagnoses
2011,Antelope County NE,31003.0,0,0,5502,HIV diagnoses
2010,Antelope County NE,31003.0,0,0,5549,HIV diagnoses
2009,Antelope County NE,31003.0,0,0,5591,HIV diagnoses
2008,Antelope County NE,31003.0,0,0,5564,HIV diagnoses
2018,Antrim County MI,26009.0,0,0,20477,HIV diagnoses
2017,Antrim County MI,26009.0,0,0,20357,HIV diagnoses
2016,Antrim County MI,26009.0,,,,HIV diagnoses
2015,Antrim County MI,26009.0,0,0,20080,HIV diagnoses
2014,Antrim County MI,26009.0,0,0,20113,HIV diagnoses
2013,Antrim County MI,26009.0,0,0,20071,HIV diagnoses
2012,Antrim County MI,26009.0,0,0,20076,HIV diagnoses
2011,Antrim County MI,26009.0,0,0,20076,HIV diagnoses
2010,Antrim County MI,26009.0,,,,HIV diagnoses
2009,Antrim County MI,26009.0,0,0,20475,HIV diagnoses
2008,Antrim County MI,26009.0,0,0,20601,HIV diagnoses
2018,Apache County AZ,4001.0,8,13.8,58004,HIV diagnoses
2017,Apache County AZ,4001.0,6,10.4,57602,HIV diagnoses
2016,Apache County AZ,4001.0,7,12.2,57348,HIV diagnoses
2015,Apache County AZ,4001.0,9,15.8,56861,HIV diagnoses
2014,Apache County AZ,4001.0,9,15.7,57230,HIV diagnoses
2013,Apache County AZ,4001.0,7,12.2,57364,HIV diagnoses
2012,Apache County AZ,4001.0,10,17.6,56922,HIV diagnoses
2011,Apache County AZ,4001.0,6,10.6,56527,HIV diagnoses
2010,Apache County AZ,4001.0,,,,HIV diagnoses
2009,Apache County AZ,4001.0,9,16.4,54753,HIV diagnoses
2008,Apache County AZ,4001.0,5,9.3,54052,HIV diagnoses
2018,Appanoose County IA,19007.0,0,0,10465,HIV diagnoses
2017,Appanoose County IA,19007.0,0,0,10427,HIV diagnoses
2016,Appanoose County IA,19007.0,0,0,10499,HIV diagnoses
2015,Appanoose County IA,19007.0,,,,HIV diagnoses
2014,Appanoose County IA,19007.0,,,,HIV diagnoses
2013,Appanoose County IA,19007.0,0,0,10617,HIV diagnoses
2012,Appanoose County IA,19007.0,0,0,10663,HIV diagnoses
2011,Appanoose County IA,19007.0,0,0,10785,HIV diagnoses
2010,Appanoose County IA,19007.0,0,0,10791,HIV diagnoses
2009,Appanoose County IA,19007.0,0,0,10701,HIV diagnoses
2008,Appanoose County IA,19007.0,0,0,10786,HIV diagnoses
2018,Appling County GA,13001.0,,,,HIV diagnoses
2017,Appling County GA,13001.0,,,,HIV diagnoses
2016,Appling County GA,13001.0,,,,HIV diagnoses
2015,Appling County GA,13001.0,0,0,15115,HIV diagnoses
2014,Appling County GA,13001.0,0,0,15102,HIV diagnoses
2013,Appling County GA,13001.0,,,,HIV diagnoses
2012,Appling County GA,13001.0,6,39.9,15056,HIV diagnoses
2011,Appling County GA,13001.0,,,,HIV diagnoses
2010,Appling County GA,13001.0,,,,HIV diagnoses
2009,Appling County GA,13001.0,0,0,14521,HIV diagnoses
2008,Appling County GA,13001.0,,,,HIV diagnoses
2018,Appomattox County VA,51011.0,,,,HIV diagnoses
2017,Appomattox County VA,51011.0,0,0,13316,HIV diagnoses
2016,Appomattox County VA,51011.0,0,0,13195,HIV diagnoses
2015,Appomattox County VA,51011.0,0,0,13161,HIV diagnoses
2014,Appomattox County VA,51011.0,0,0,13029,HIV diagnoses
2013,Appomattox County VA,51011.0,,,,HIV diagnoses
2012,Appomattox County VA,51011.0,,,,HIV diagnoses
2011,Appomattox County VA,51011.0,,,,HIV diagnoses
2010,Appomattox County VA,51011.0,0,0,12740,HIV diagnoses
2009,Appomattox County VA,51011.0,0,0,12317,HIV diagnoses
2008,Appomattox County VA,51011.0,0,0,12225,HIV diagnoses
2018,Aransas County TX,48007.0,0,0,20816,HIV diagnoses
2017,Aransas County TX,48007.0,,,,HIV diagnoses
2016,Aransas County TX,48007.0,5,22.9,21791,HIV diagnoses
2015,Aransas County TX,48007.0,,,,HIV diagnoses
2014,Aransas County TX,48007.0,,,,HIV diagnoses
2013,Aransas County TX,48007.0,,,,HIV diagnoses
2012,Aransas County TX,48007.0,,,,HIV diagnoses
2011,Aransas County TX,48007.0,0,0,20133,HIV diagnoses
2010,Aransas County TX,48007.0,,,,HIV diagnoses
2009,Aransas County TX,48007.0,0,0,21220,HIV diagnoses
2008,Aransas County TX,48007.0,,,,HIV diagnoses
2018,Arapahoe County CO,8005.0,62,11.4,541929,HIV diagnoses
2017,Arapahoe County CO,8005.0,59,11,534290,HIV diagnoses
2016,Arapahoe County CO,8005.0,65,12.3,527731,HIV diagnoses
2015,Arapahoe County CO,8005.0,59,11.4,519538,HIV diagnoses
2014,Arapahoe County CO,8005.0,63,12.4,508807,HIV diagnoses
2013,Arapahoe County CO,8005.0,52,10.4,498776,HIV diagnoses
2012,Arapahoe County CO,8005.0,51,10.5,488017,HIV diagnoses
2011,Arapahoe County CO,8005.0,50,10.5,478340,HIV diagnoses
2010,Arapahoe County CO,8005.0,62,13.2,468044,HIV diagnoses
2009,Arapahoe County CO,8005.0,41,8.9,459458,HIV diagnoses
2008,Arapahoe County CO,8005.0,68,15.1,450335,HIV diagnoses
2018,Archer County TX,48009.0,0,0,7473,HIV diagnoses
2017,Archer County TX,48009.0,,,,HIV diagnoses
2016,Archer County TX,48009.0,0,0,7479,HIV diagnoses
2015,Archer County TX,48009.0,0,0,7488,HIV diagnoses
2014,Archer County TX,48009.0,0,0,7555,HIV diagnoses
2013,Archer County TX,48009.0,0,0,7482,HIV diagnoses
2012,Archer County TX,48009.0,0,0,7478,HIV diagnoses
2011,Archer County TX,48009.0,0,0,7475,HIV diagnoses
2010,Archer County TX,48009.0,0,0,7619,HIV diagnoses
2009,Archer County TX,48009.0,0,0,7386,HIV diagnoses
2008,Archer County TX,48009.0,0,0,7459,HIV diagnoses
2018,Archuleta County CO,8007.0,,,,HIV diagnoses
2017,Archuleta County CO,8007.0,0,0,11565,HIV diagnoses
2016,Archuleta County CO,8007.0,,,,HIV diagnoses
2015,Archuleta County CO,8007.0,,,,HIV diagnoses
2014,Archuleta County CO,8007.0,0,0,10620,HIV diagnoses
2013,Archuleta County CO,8007.0,0,0,10576,HIV diagnoses
2012,Archuleta County CO,8007.0,,,,HIV diagnoses
2011,Archuleta County CO,8007.0,0,0,10370,HIV diagnoses
2010,Archuleta County CO,8007.0,0,0,10399,HIV diagnoses
2009,Archuleta County CO,8007.0,0,0,10658,HIV diagnoses
2008,Archuleta County CO,8007.0,0,0,10720,HIV diagnoses
2018,Arenac County MI,26011.0,0,0,13139,HIV diagnoses
2017,Arenac County MI,26011.0,0,0,13156,HIV diagnoses
2016,Arenac County MI,26011.0,0,0,13218,HIV diagnoses
2015,Arenac County MI,26011.0,0,0,13365,HIV diagnoses
2014,Arenac County MI,26011.0,0,0,13415,HIV diagnoses
2013,Arenac County MI,26011.0,0,0,13469,HIV diagnoses
2012,Arenac County MI,26011.0,0,0,13471,HIV diagnoses
2011,Arenac County MI,26011.0,0,0,13578,HIV diagnoses
2010,Arenac County MI,26011.0,0,0,13727,HIV diagnoses
2009,Arenac County MI,26011.0,0,0,13900,HIV diagnoses
2008,Arenac County MI,26011.0,0,0,14169,HIV diagnoses
2018,Arkansas County AR,5001.0,,,,HIV diagnoses
2017,Arkansas County AR,5001.0,,,,HIV diagnoses
2016,Arkansas County AR,5001.0,,,,HIV diagnoses
2015,Arkansas County AR,5001.0,,,,HIV diagnoses
2014,Arkansas County AR,5001.0,,,,HIV diagnoses
2013,Arkansas County AR,5001.0,,,,HIV diagnoses
2012,Arkansas County AR,5001.0,,,,HIV diagnoses
2011,Arkansas County AR,5001.0,,,,HIV diagnoses
2010,Arkansas County AR,5001.0,,,,HIV diagnoses
2009,Arkansas County AR,5001.0,,,,HIV diagnoses
2008,Arkansas County AR,5001.0,,,,HIV diagnoses
2018,Arlington County VA,51013.0,34,16.6,204600,HIV diagnoses
2017,Arlington County VA,51013.0,,,,HIV diagnoses
2016,Arlington County VA,51013.0,31,15.5,200057,HIV diagnoses
2015,Arlington County VA,51013.0,33,16.7,198035,HIV diagnoses
2014,Arlington County VA,51013.0,44,22.4,196124,HIV diagnoses
2013,Arlington County VA,51013.0,34,17.4,195500,HIV diagnoses
2012,Arlington County VA,51013.0,44,22.8,193075,HIV diagnoses
2011,Arlington County VA,51013.0,35,18.5,188856,HIV diagnoses
2010,Arlington County VA,51013.0,38,20.7,183493,HIV diagnoses
2009,Arlington County VA,51013.0,45,23.8,188896,HIV diagnoses
2008,Arlington County VA,51013.0,47,25.7,183051,HIV diagnoses
2018,Armstrong County TX,48011.0,0,0,1570,HIV diagnoses
2017,Armstrong County TX,48011.0,0,0,1572,HIV diagnoses
2016,Armstrong County TX,48011.0,0,0,1537,HIV diagnoses
2015,Armstrong County TX,48011.0,0,0,1592,HIV diagnoses
2014,Armstrong County TX,48011.0,0,0,1595,HIV diagnoses
2013,Armstrong County TX,48011.0,0,0,1614,HIV diagnoses
2012,Armstrong County TX,48011.0,0,0,1639,HIV diagnoses
2011,Armstrong County TX,48011.0,0,0,1653,HIV diagnoses
2010,Armstrong County TX,48011.0,0,0,1623,HIV diagnoses
2009,Armstrong County TX,48011.0,0,0,1711,HIV diagnoses
2008,Armstrong County TX,48011.0,0,0,1716,HIV diagnoses
2018,Armstrong County PA,42005.0,0,0,56396,HIV diagnoses
2017,Armstrong County PA,42005.0,,,,HIV diagnoses
2016,Armstrong County PA,42005.0,,,,HIV diagnoses
2015,Armstrong County PA,42005.0,0,0,57612,HIV diagnoses
2014,Armstrong County PA,42005.0,,,,HIV diagnoses
2013,Armstrong County PA,42005.0,0,0,58394,HIV diagnoses
2012,Armstrong County PA,42005.0,,,,HIV diagnoses
2011,Armstrong County PA,42005.0,,,,HIV diagnoses
2010,Armstrong County PA,42005.0,0,0,59170,HIV diagnoses
2009,Armstrong County PA,42005.0,,,,HIV diagnoses
2008,Armstrong County PA,42005.0,0,0,58721,HIV diagnoses
2018,Aroostook County ME,23003.0,,,,HIV diagnoses
2017,Aroostook County ME,23003.0,0,0,58946,HIV diagnoses
2016,Aroostook County ME,23003.0,,,,HIV diagnoses
2015,Aroostook County ME,23003.0,,,,HIV diagnoses
2014,Aroostook County ME,23003.0,,,,HIV diagnoses
2013,Aroostook County ME,23003.0,0,0,60915,HIV diagnoses
2012,Aroostook County ME,23003.0,0,0,61438,HIV diagnoses
2011,Aroostook County ME,23003.0,,,,HIV diagnoses
2010,Aroostook County ME,23003.0,0,0,61997,HIV diagnoses
2009,Aroostook County ME,23003.0,,,,HIV diagnoses
2008,Aroostook County ME,23003.0,0,0,61995,HIV diagnoses
2018,Arthur County NE,31005.0,0,0,383,HIV diagnoses
2017,Arthur County NE,31005.0,0,0,373,HIV diagnoses
2016,Arthur County NE,31005.0,0,0,376,HIV diagnoses
2015,Arthur County NE,31005.0,0,0,361,HIV diagnoses
2014,Arthur County NE,31005.0,0,0,360,HIV diagnoses
2013,Arthur County NE,31005.0,0,0,358,HIV diagnoses
2012,Arthur County NE,31005.0,0,0,372,HIV diagnoses
2011,Arthur County NE,31005.0,0,0,366,HIV diagnoses
2010,Arthur County NE,31005.0,0,0,368,HIV diagnoses
2009,Arthur County NE,31005.0,0,0,292,HIV diagnoses
2008,Arthur County NE,31005.0,0,0,300,HIV diagnoses
2018,Ascension Parish LA,22005.0,11,10.9,100715,HIV diagnoses
2017,Ascension Parish LA,22005.0,9,9.1,99230,HIV diagnoses
2016,Ascension Parish LA,22005.0,16,16.4,97843,HIV diagnoses
2015,Ascension Parish LA,22005.0,14,14.6,95954,HIV diagnoses
2014,Ascension Parish LA,22005.0,22,23.4,94111,HIV diagnoses
2013,Ascension Parish LA,22005.0,16,17.4,91739,HIV diagnoses
2012,Ascension Parish LA,22005.0,13,14.5,89469,HIV diagnoses
2011,Ascension Parish LA,22005.0,12,13.7,87458,HIV diagnoses
2010,Ascension Parish LA,22005.0,13,15.2,85515,HIV diagnoses
2009,Ascension Parish LA,22005.0,19,22.9,82819,HIV diagnoses
2008,Ascension Parish LA,22005.0,9,11.1,80838,HIV diagnoses
2018,Ashe County NC,37009.0,0,0,23786,HIV diagnoses
2017,Ashe County NC,37009.0,0,0,23460,HIV diagnoses
2016,Ashe County NC,37009.0,,,,HIV diagnoses
2015,Ashe County NC,37009.0,0,0,23198,HIV diagnoses
