Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2010,Pennsylvania,42,"1,480",13.8,"10,759,979",HIV diagnoses
2009,Pennsylvania,42,"1,658",15.6,"10,659,191",HIV diagnoses
2008,Pennsylvania,42,"1,773",16.7,"10,618,093",HIV diagnoses
2018,Rhode Island,44,76,8.3,"913,274",HIV diagnoses
2017,Rhode Island,44,83,9.1,"911,239",HIV diagnoses
2016,Rhode Island,44,71,7.8,"910,326",HIV diagnoses
2015,Rhode Island,44,64,7,"908,366",HIV diagnoses
2014,Rhode Island,44,89,9.8,"907,072",HIV diagnoses
2013,Rhode Island,44,78,8.6,"904,623",HIV diagnoses
2012,Rhode Island,44,78,8.6,"902,455",HIV diagnoses
2011,Rhode Island,44,100,11.1,"899,628",HIV diagnoses
2010,Rhode Island,44,115,12.8,"898,501",HIV diagnoses
2009,Rhode Island,44,119,13.3,"894,466",HIV diagnoses
2008,Rhode Island,44,123,13.8,"893,608",HIV diagnoses
2018,South Carolina,45,719,16.8,"4,291,438",HIV diagnoses
2017,South Carolina,45,711,16.8,"4,230,737",HIV diagnoses
2016,South Carolina,45,746,17.9,"4,171,070",HIV diagnoses
2015,South Carolina,45,667,16.2,"4,109,463",HIV diagnoses
2014,South Carolina,45,763,18.9,"4,046,632",HIV diagnoses
2013,South Carolina,45,707,17.7,"3,988,907",HIV diagnoses
2012,South Carolina,45,700,17.8,"3,939,204",HIV diagnoses
2011,South Carolina,45,741,19,"3,893,958",HIV diagnoses
2010,South Carolina,45,767,19.9,"3,857,440",HIV diagnoses
2009,South Carolina,45,759,20.1,"3,780,746",HIV diagnoses
2008,South Carolina,45,709,19,"3,732,320",HIV diagnoses
2018,South Dakota,46,28,3.9,"722,303",HIV diagnoses
2017,South Dakota,46,40,5.6,"713,932",HIV diagnoses
2016,South Dakota,46,43,6.1,"704,961",HIV diagnoses
2015,South Dakota,46,23,3.3,"697,811",HIV diagnoses
2014,South Dakota,46,29,4.2,"694,500",HIV diagnoses
2013,South Dakota,46,32,4.6,"689,289",HIV diagnoses
2012,South Dakota,46,25,3.7,"682,418",HIV diagnoses
2011,South Dakota,46,20,3,"673,889",HIV diagnoses
2010,South Dakota,46,32,4.8,"668,043",HIV diagnoses
2009,South Dakota,46,22,3.3,"667,951",HIV diagnoses
2008,South Dakota,46,28,4.2,"661,864",HIV diagnoses
2018,Tennessee,47,759,13.3,"5,691,344",HIV diagnoses
2017,Tennessee,47,731,13,"5,631,232",HIV diagnoses
2016,Tennessee,47,713,12.8,"5,570,308",HIV diagnoses
2015,Tennessee,47,739,13.4,"5,518,921",HIV diagnoses
2014,Tennessee,47,754,13.8,"5,471,517",HIV diagnoses
2013,Tennessee,47,770,14.2,"5,424,065",HIV diagnoses
2012,Tennessee,47,853,15.9,"5,379,876",HIV diagnoses
2011,Tennessee,47,844,15.8,"5,326,756",HIV diagnoses
2010,Tennessee,47,856,16.2,"5,282,732",HIV diagnoses
2009,Tennessee,47,931,17.8,"5,219,117",HIV diagnoses
2008,Tennessee,47,998,19.3,"5,169,975",HIV diagnoses
2018,Texas,48,"4,483",19.2,"23,369,741",HIV diagnoses
2017,Texas,48,"4,358",18.9,"23,007,851",HIV diagnoses
2016,Texas,48,"4,523",20,"22,647,866",HIV diagnoses
2015,Texas,48,"4,532",20.4,"22,243,749",HIV diagnoses
2014,Texas,48,"4,417",20.3,"21,802,872",HIV diagnoses
2013,Texas,48,"4,340",20.3,"21,367,395",HIV diagnoses
2012,Texas,48,"4,324",20.6,"20,998,376",HIV diagnoses
2011,Texas,48,"4,280",20.8,"20,595,015",HIV diagnoses
2010,Texas,48,"4,455",22,"20,237,059",HIV diagnoses
2009,Texas,48,"4,356",22.2,"19,664,635",HIV diagnoses
2008,Texas,48,"4,171",21.6,"19,307,235",HIV diagnoses
2018,Utah,49,121,4.9,"2,487,739",HIV diagnoses
2017,Utah,49,117,4.8,"2,430,127",HIV diagnoses
2016,Utah,49,139,5.9,"2,371,090",HIV diagnoses
2015,Utah,49,122,5.3,"2,314,417",HIV diagnoses
2014,Utah,49,114,5,"2,271,476",HIV diagnoses
2013,Utah,49,109,4.9,"2,233,017",HIV diagnoses
2012,Utah,49,122,5.6,"2,191,305",HIV diagnoses
2011,Utah,49,107,5,"2,154,045",HIV diagnoses
2010,Utah,49,85,4,"2,119,571",HIV diagnoses
2009,Utah,49,122,5.7,"2,126,805",HIV diagnoses
2008,Utah,49,131,6.3,"2,086,097",HIV diagnoses
2018,Vermont,50,18,3.3,"545,217",HIV diagnoses
2017,Vermont,50,20,3.7,"542,961",HIV diagnoses
2016,Vermont,50,5,0.9,"541,260",HIV diagnoses
2015,Vermont,50,14,2.6,"541,601",HIV diagnoses
2014,Vermont,50,17,3.1,"540,870",HIV diagnoses
2013,Vermont,50,13,2.4,"540,922",HIV diagnoses
2012,Vermont,50,14,2.6,"539,641",HIV diagnoses
2011,Vermont,50,13,2.4,"539,325",HIV diagnoses
2010,Vermont,50,20,3.7,"537,095",HIV diagnoses
2009,Vermont,50,18,3.4,"535,123",HIV diagnoses
2008,Vermont,50,18,3.4,"533,825",HIV diagnoses
2018,Virginia,51,867,12.1,"7,174,624",HIV diagnoses
2017,Virginia,51,865,12.1,"7,121,557",HIV diagnoses
2016,Virginia,51,906,12.8,"7,066,986",HIV diagnoses
2015,Virginia,51,955,13.6,"7,020,016",HIV diagnoses
2014,Virginia,51,901,12.9,"6,970,605",HIV diagnoses
2013,Virginia,51,944,13.7,"6,909,745",HIV diagnoses
2012,Virginia,51,934,13.7,"6,842,130",HIV diagnoses
2011,Virginia,51,897,13.3,"6,763,179",HIV diagnoses
2010,Virginia,51,994,14.9,"6,692,503",HIV diagnoses
2009,Virginia,51,980,15,"6,543,736",HIV diagnoses
2008,Virginia,51,"1,067",16.5,"6,472,126",HIV diagnoses
2018,Washington,53,503,8,"6,325,104",HIV diagnoses
2017,Washington,53,433,7,"6,224,655",HIV diagnoses
2016,Washington,53,425,7,"6,109,614",HIV diagnoses
2015,Washington,53,451,7.5,"5,995,009",HIV diagnoses
2014,Washington,53,439,7.4,"5,896,287",HIV diagnoses
2013,Washington,53,444,7.6,"5,813,109",HIV diagnoses
2012,Washington,53,496,8.6,"5,746,623",HIV diagnoses
2011,Washington,53,479,8.4,"5,679,657",HIV diagnoses
2010,Washington,53,538,9.6,"5,607,944",HIV diagnoses
2009,Washington,53,526,9.5,"5,532,584",HIV diagnoses
2008,Washington,53,523,9.6,"5,451,257",HIV diagnoses
2018,West Virginia,54,85,5.5,"1,546,902",HIV diagnoses
2017,West Virginia,54,76,4.9,"1,554,542",HIV diagnoses
2016,West Virginia,54,68,4.3,"1,564,167",HIV diagnoses
2015,West Virginia,54,72,4.6,"1,572,368",HIV diagnoses
2014,West Virginia,54,84,5.3,"1,578,153",HIV diagnoses
2013,West Virginia,54,73,4.6,"1,581,193",HIV diagnoses
2012,West Virginia,54,80,5.1,"1,582,449",HIV diagnoses
2011,West Virginia,54,85,5.4,"1,581,533",HIV diagnoses
2010,West Virginia,54,73,4.6,"1,578,821",HIV diagnoses
2009,West Virginia,54,76,4.9,"1,544,706",HIV diagnoses
2008,West Virginia,54,82,5.3,"1,540,309",HIV diagnoses
2018,Wisconsin,55,210,4.3,"4,907,884",HIV diagnoses
2017,Wisconsin,55,259,5.3,"4,881,522",HIV diagnoses
2016,Wisconsin,55,229,4.7,"4,857,498",HIV diagnoses
2015,Wisconsin,55,225,4.6,"4,840,448",HIV diagnoses
2014,Wisconsin,55,217,4.5,"4,825,931",HIV diagnoses
2013,Wisconsin,55,243,5.1,"4,804,606",HIV diagnoses
2012,Wisconsin,55,217,4.5,"4,779,842",HIV diagnoses
2011,Wisconsin,55,242,5.1,"4,758,800",HIV diagnoses
2010,Wisconsin,55,252,5.3,"4,739,083",HIV diagnoses
2009,Wisconsin,55,278,5.9,"4,722,053",HIV diagnoses
2008,Wisconsin,55,236,5,"4,697,333",HIV diagnoses
2018,Wyoming,56,12,2.5,"480,114",HIV diagnoses
2017,Wyoming,56,10,2.1,"479,567",HIV diagnoses
2016,Wyoming,56,21,4.4,"482,500",HIV diagnoses
2015,Wyoming,56,17,3.5,"483,034",HIV diagnoses
2014,Wyoming,56,10,2.1,"480,901",HIV diagnoses
2013,Wyoming,56,16,3.3,"480,996",HIV diagnoses
2012,Wyoming,56,7,1.5,"475,893",HIV diagnoses
2011,Wyoming,56,15,3.2,"467,723",HIV diagnoses
2010,Wyoming,56,19,4.1,"465,119",HIV diagnoses
2009,Wyoming,56,20,4.5,"447,838",HIV diagnoses
2008,Wyoming,56,23,5.2,"439,967",HIV diagnoses
