Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2014,"Cass County, NE",31025,0,0,"21,034",HIV diagnoses
2013,"Cass County, NE",31025,0,0,"20,911",HIV diagnoses
2012,"Cass County, NE",31025,0,0,"20,705",HIV diagnoses
2011,"Cass County, NE",31025,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Cass County, NE",31025,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cass County, NE",31025,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Cass County, NE",31025,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Cass County, MI",26027,0,0,"43,915",HIV diagnoses
2015,"Cass County, MI",26027,0,0,"43,835",HIV diagnoses
2014,"Cass County, MI",26027,0,0,"43,996",HIV diagnoses
2013,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cass County, MI",26027,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Cass County, MI",26027,0,0,"42,687",HIV diagnoses
2018,"Cass County, IL",17017,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Cass County, IL",17017,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Cass County, IL",17017,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Cass County, IL",17017,0,0,"10,630",HIV diagnoses
2014,"Cass County, IL",17017,0,0,"10,805",HIV diagnoses
2013,"Cass County, IL",17017,0,0,"10,913",HIV diagnoses
2012,"Cass County, IL",17017,0,0,"11,069",HIV diagnoses
2011,"Cass County, IL",17017,0,0,"11,223",HIV diagnoses
2010,"Cass County, IL",17017,0,0,"11,241",HIV diagnoses
2009,"Cass County, IL",17017,0,0,"11,139",HIV diagnoses
2008,"Cass County, IL",17017,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Cassia County, ID",16031,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Cassia County, ID",16031,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Cassia County, ID",16031,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Cassia County, ID",16031,0,0,"17,959",HIV diagnoses
2014,"Cassia County, ID",16031,0,0,"17,935",HIV diagnoses
2013,"Cassia County, ID",16031,0,0,"17,754",HIV diagnoses
2012,"Cassia County, ID",16031,0,0,"17,679",HIV diagnoses
2011,"Cassia County, ID",16031,0,0,"17,519",HIV diagnoses
2010,"Cassia County, ID",16031,0,0,"17,464",HIV diagnoses
2009,"Cassia County, ID",16031,0,0,"16,368",HIV diagnoses
2008,"Cassia County, ID",16031,0,0,"16,229",HIV diagnoses
2018,"Castro County, TX",48069,0,0,"6,103",HIV diagnoses
2017,"Castro County, TX",48069,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Castro County, TX",48069,0,0,"6,130",HIV diagnoses
2015,"Castro County, TX",48069,0,0,"6,143",HIV diagnoses
2014,"Castro County, TX",48069,0,0,"6,215",HIV diagnoses
2013,"Castro County, TX",48069,0,0,"6,336",HIV diagnoses
2012,"Castro County, TX",48069,0,0,"6,362",HIV diagnoses
2011,"Castro County, TX",48069,0,0,"6,247",HIV diagnoses
2010,"Castro County, TX",48069,0,0,"6,280",HIV diagnoses
2009,"Castro County, TX",48069,0,0,"5,527",HIV diagnoses
2008,"Castro County, TX",48069,0,0,"5,523",HIV diagnoses
2018,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Caswell County, NC",37033,0,0,"19,761",HIV diagnoses
2013,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Caswell County, NC",37033,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Caswell County, NC",37033,6,30.5,"19,660",HIV diagnoses
2008,"Caswell County, NC",37033,6,30.3,"19,812",HIV diagnoses
2018,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Catahoula Parish, LA",22025,0,0,"8,286",HIV diagnoses
2015,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Catahoula Parish, LA",22025,0,0,"8,695",HIV diagnoses
2009,"Catahoula Parish, LA",22025,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Catahoula Parish, LA",22025,0,0,"8,737",HIV diagnoses
2018,"Catawba County, NC",37035,16,11.9,"134,099",HIV diagnoses
2017,"Catawba County, NC",37035,7,5.3,"133,102",HIV diagnoses
2016,"Catawba County, NC",37035,10,7.6,"131,728",HIV diagnoses
2015,"Catawba County, NC",37035,12,9.2,"130,684",HIV diagnoses
2014,"Catawba County, NC",37035,13,10,"129,972",HIV diagnoses
2013,"Catawba County, NC",37035,10,7.7,"129,541",HIV diagnoses
2012,"Catawba County, NC",37035,16,12.4,"129,182",HIV diagnoses
2011,"Catawba County, NC",37035,9,7,"128,748",HIV diagnoses
2010,"Catawba County, NC",37035,12,9.3,"128,482",HIV diagnoses
2009,"Catawba County, NC",37035,13,9.9,"131,243",HIV diagnoses
2008,"Catawba County, NC",37035,14,10.8,"129,849",HIV diagnoses
2018,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Catoosa County, GA",13047,7,12.5,"55,873",HIV diagnoses
2016,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Catoosa County, GA",13047,8,14.9,"53,735",HIV diagnoses
2011,"Catoosa County, GA",13047,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Catoosa County, GA",13047,5,9.5,"52,791",HIV diagnoses
2009,"Catoosa County, GA",13047,7,13.3,"52,794",HIV diagnoses
2008,"Catoosa County, GA",13047,6,11.5,"52,082",HIV diagnoses
2018,"Catron County, NM",35003,0,0,"3,287",HIV diagnoses
2017,"Catron County, NM",35003,0,0,"3,273",HIV diagnoses
2016,"Catron County, NM",35003,0,0,"3,232",HIV diagnoses
2015,"Catron County, NM",35003,0,0,"3,183",HIV diagnoses
2014,"Catron County, NM",35003,0,0,"3,224",HIV diagnoses
2013,"Catron County, NM",35003,0,0,"3,240",HIV diagnoses
2012,"Catron County, NM",35003,0,0,"3,284",HIV diagnoses
2011,"Catron County, NM",35003,0,0,"3,351",HIV diagnoses
2010,"Catron County, NM",35003,0,0,"3,364",HIV diagnoses
2009,"Catron County, NM",35003,0,0,"3,118",HIV diagnoses
2008,"Catron County, NM",35003,0,0,"3,099",HIV diagnoses
2018,"Cattaraugus County, NY",36009,0,0,"64,987",HIV diagnoses
2017,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Cattaraugus County, NY",36009,0,0,"65,366",HIV diagnoses
2015,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Cattaraugus County, NY",36009,5,7.5,"66,771",HIV diagnoses
2010,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Cattaraugus County, NY",36009,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Cavalier County, ND",38019,0,0,"3,195",HIV diagnoses
2017,"Cavalier County, ND",38019,0,0,"3,192",HIV diagnoses
2016,"Cavalier County, ND",38019,0,0,"3,227",HIV diagnoses
2015,"Cavalier County, ND",38019,0,0,"3,245",HIV diagnoses
2014,"Cavalier County, ND",38019,0,0,"3,286",HIV diagnoses
2013,"Cavalier County, ND",38019,0,0,"3,304",HIV diagnoses
2012,"Cavalier County, ND",38019,0,0,"3,371",HIV diagnoses
2011,"Cavalier County, ND",38019,0,0,"3,414",HIV diagnoses
2010,"Cavalier County, ND",38019,0,0,"3,463",HIV diagnoses
2009,"Cavalier County, ND",38019,0,0,"3,244",HIV diagnoses
2008,"Cavalier County, ND",38019,0,0,"3,295",HIV diagnoses
2018,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Cayuga County, NY",36011,0,0,"66,738",HIV diagnoses
2016,"Cayuga County, NY",36011,5,7.5,"66,786",HIV diagnoses
2015,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Cayuga County, NY",36011,7,10.3,"68,039",HIV diagnoses
2010,"Cayuga County, NY",36011,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cayuga County, NY",36011,10,14.7,"68,142",HIV diagnoses
2008,"Cayuga County, NY",36011,5,7.3,"68,285",HIV diagnoses
2018,"Cecil County, MD",24015,8,9.2,"86,633",HIV diagnoses
2017,"Cecil County, MD",24015,6,7,"86,301",HIV diagnoses
2016,"Cecil County, MD",24015,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Cecil County, MD",24015,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Cecil County, MD",24015,6,7,"85,473",HIV diagnoses
2013,"Cecil County, MD",24015,6,7.1,"84,942",HIV diagnoses
2012,"Cecil County, MD",24015,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Cecil County, MD",24015,6,7.1,"84,121",HIV diagnoses
2010,"Cecil County, MD",24015,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cecil County, MD",24015,6,7.2,"83,377",HIV diagnoses
2008,"Cecil County, MD",24015,6,7.3,"82,464",HIV diagnoses
2018,"Cedar County, MO",29039,0,0,"11,741",HIV diagnoses
2017,"Cedar County, MO",29039,0,0,"11,691",HIV diagnoses
2016,"Cedar County, MO",29039,0,0,"11,533",HIV diagnoses
2015,"Cedar County, MO",29039,0,0,"11,493",HIV diagnoses
2014,"Cedar County, MO",29039,0,0,"11,548",HIV diagnoses
2013,"Cedar County, MO",29039,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cedar County, MO",29039,0,0,"11,625",HIV diagnoses
2011,"Cedar County, MO",29039,0,0,"11,654",HIV diagnoses
2010,"Cedar County, MO",29039,0,0,"11,644",HIV diagnoses
2009,"Cedar County, MO",29039,0,0,"11,411",HIV diagnoses
2008,"Cedar County, MO",29039,0,0,"11,533",HIV diagnoses
2018,"Cedar County, IA",19031,0,0,"15,805",HIV diagnoses
2017,"Cedar County, IA",19031,0,0,"15,669",HIV diagnoses
2016,"Cedar County, IA",19031,0,0,"15,556",HIV diagnoses
2015,"Cedar County, IA",19031,0,0,"15,403",HIV diagnoses
2014,"Cedar County, IA",19031,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Cedar County, IA",19031,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cedar County, IA",19031,0,0,"15,328",HIV diagnoses
2011,"Cedar County, IA",19031,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Cedar County, IA",19031,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cedar County, IA",19031,0,0,"15,076",HIV diagnoses
2008,"Cedar County, IA",19031,0,0,"15,109",HIV diagnoses
2018,"Cedar County, NE",31027,0,0,"6,911",HIV diagnoses
2017,"Cedar County, NE",31027,0,0,"6,964",HIV diagnoses
2016,"Cedar County, NE",31027,0,0,"7,019",HIV diagnoses
2015,"Cedar County, NE",31027,0,0,"6,972",HIV diagnoses
2014,"Cedar County, NE",31027,0,0,"7,050",HIV diagnoses
2013,"Cedar County, NE",31027,0,0,"7,119",HIV diagnoses
2012,"Cedar County, NE",31027,0,0,"7,152",HIV diagnoses
2011,"Cedar County, NE",31027,0,0,"7,199",HIV diagnoses
2010,"Cedar County, NE",31027,0,0,"7,254",HIV diagnoses
2009,"Cedar County, NE",31027,0,0,"6,917",HIV diagnoses
2008,"Cedar County, NE",31027,0,0,"6,966",HIV diagnoses
2018,"Centre County, PA",42027,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Centre County, PA",42027,5,3.4,"144,938",HIV diagnoses
2016,"Centre County, PA",42027,11,7.6,"144,635",HIV diagnoses
2015,"Centre County, PA",42027,7,4.9,"143,196",HIV diagnoses
2014,"Centre County, PA",42027,5,3.5,"142,435",HIV diagnoses
2013,"Centre County, PA",42027,8,5.7,"141,044",HIV diagnoses
2012,"Centre County, PA",42027,7,5.1,"138,389",HIV diagnoses
2011,"Centre County, PA",42027,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Centre County, PA",42027,8,5.8,"136,781",HIV diagnoses
2009,"Centre County, PA",42027,15,11.6,"129,575",HIV diagnoses
2008,"Centre County, PA",42027,13,10.1,"129,003",HIV diagnoses
2018,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Cerro Gordo County, IA",19033,0,0,"36,839",HIV diagnoses
2013,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Cerro Gordo County, IA",19033,0,0,"37,090",HIV diagnoses
2008,"Cerro Gordo County, IA",19033,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Chaffee County, CO",8015,0,0,"17,025",HIV diagnoses
2015,"Chaffee County, CO",8015,0,0,"16,596",HIV diagnoses
2014,"Chaffee County, CO",8015,0,0,"16,416",HIV diagnoses
2013,"Chaffee County, CO",8015,0,0,"16,296",HIV diagnoses
2012,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Chaffee County, CO",8015,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Chaffee County, CO",8015,0,0,"15,038",HIV diagnoses
2018,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Chambers County, TX",48071,6,19.1,"31,481",HIV diagnoses
2014,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Chambers County, TX",48071,0,0,"30,041",HIV diagnoses
2012,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Chambers County, TX",48071,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Chambers County, TX",48071,0,0,"23,783",HIV diagnoses
2018,"Chambers County, AL",1017,10,35,"28,581",HIV diagnoses
2017,"Chambers County, AL",1017,6,21,"28,617",HIV diagnoses
2016,"Chambers County, AL",1017,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Chambers County, AL",1017,10,34.6,"28,870",HIV diagnoses
2014,"Chambers County, AL",1017,13,45.1,"28,849",HIV diagnoses
2013,"Chambers County, AL",1017,5,17.3,"28,985",HIV diagnoses
2012,"Chambers County, AL",1017,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Chambers County, AL",1017,12,41.6,"28,812",HIV diagnoses
2010,"Chambers County, AL",1017,9,31.2,"28,829",HIV diagnoses
2009,"Chambers County, AL",1017,9,31.2,"28,868",HIV diagnoses
2008,"Chambers County, AL",1017,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Champaign County, OH",39021,0,0,"32,619",HIV diagnoses
2015,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Champaign County, OH",39021,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Champaign County, OH",39021,0,0,"32,839",HIV diagnoses
2008,"Champaign County, OH",39021,0,0,"32,726",HIV diagnoses
2018,"Champaign County, IL",17019,18,9.9,"181,417",HIV diagnoses
2017,"Champaign County, IL",17019,15,8.3,"181,418",HIV diagnoses
2016,"Champaign County, IL",17019,14,7.7,"181,281",HIV diagnoses
2015,"Champaign County, IL",17019,13,7.2,"180,431",HIV diagnoses
2014,"Champaign County, IL",17019,19,10.6,"179,222",HIV diagnoses
2013,"Champaign County, IL",17019,19,10.7,"177,820",HIV diagnoses
2012,"Champaign County, IL",17019,19,10.8,"176,157",HIV diagnoses
2011,"Champaign County, IL",17019,13,7.4,"174,753",HIV diagnoses
2010,"Champaign County, IL",17019,22,12.7,"173,119",HIV diagnoses
2009,"Champaign County, IL",17019,21,12.5,"167,416",HIV diagnoses
2008,"Champaign County, IL",17019,23,13.9,"165,850",HIV diagnoses
2018,"Chariton County, MO",29041,0,0,"6,253",HIV diagnoses
2017,"Chariton County, MO",29041,0,0,"6,273",HIV diagnoses
2016,"Chariton County, MO",29041,0,0,"6,312",HIV diagnoses
2015,"Chariton County, MO",29041,0,0,"6,350",HIV diagnoses
2014,"Chariton County, MO",29041,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Chariton County, MO",29041,0,0,"6,439",HIV diagnoses
2012,"Chariton County, MO",29041,0,0,"6,465",HIV diagnoses
2011,"Chariton County, MO",29041,0,0,"6,529",HIV diagnoses
2010,"Chariton County, MO",29041,0,0,"6,584",HIV diagnoses
2009,"Chariton County, MO",29041,0,0,"6,420",HIV diagnoses
2008,"Chariton County, MO",29041,0,0,"6,494",HIV diagnoses
2018,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Charles City County, VA",51036,0,0,"6,246",HIV diagnoses
2016,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Charles City County, VA",51036,0,0,"6,253",HIV diagnoses
2014,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Charles City County, VA",51036,0,0,"6,258",HIV diagnoses
2012,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Charles City County, VA",51036,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Charles City County, VA",51036,0,0,"6,286",HIV diagnoses
2018,"Charles County, MD",24017,26,19.3,"134,386",HIV diagnoses
2017,"Charles County, MD",24017,22,16.6,"132,461",HIV diagnoses
2016,"Charles County, MD",24017,29,22.2,"130,737",HIV diagnoses
2015,"Charles County, MD",24017,28,21.7,"129,201",HIV diagnoses
2014,"Charles County, MD",24017,40,31.2,"128,001",HIV diagnoses
2013,"Charles County, MD",24017,36,28.5,"126,277",HIV diagnoses
2012,"Charles County, MD",24017,29,23.3,"124,206",HIV diagnoses
2011,"Charles County, MD",24017,17,13.9,"122,663",HIV diagnoses
2010,"Charles County, MD",24017,30,24.9,"120,513",HIV diagnoses
2009,"Charles County, MD",24017,34,29.3,"116,178",HIV diagnoses
2008,"Charles County, MD",24017,25,21.7,"115,110",HIV diagnoses
2018,"Charles Mix County, SD",46023,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Charles Mix County, SD",46023,0,0,"7,347",HIV diagnoses
2016,"Charles Mix County, SD",46023,0,0,"7,273",HIV diagnoses
2015,"Charles Mix County, SD",46023,0,0,"7,267",HIV diagnoses
2014,"Charles Mix County, SD",46023,0,0,"7,231",HIV diagnoses
2013,"Charles Mix County, SD",46023,0,0,"7,203",HIV diagnoses
2012,"Charles Mix County, SD",46023,0,0,"7,227",HIV diagnoses
2011,"Charles Mix County, SD",46023,0,0,"7,241",HIV diagnoses
2010,"Charles Mix County, SD",46023,0,0,"7,210",HIV diagnoses
2009,"Charles Mix County, SD",46023,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Charles Mix County, SD",46023,0,0,"7,044",HIV diagnoses
2018,"Charleston County, SC",45019,81,23.4,"346,558",HIV diagnoses
2017,"Charleston County, SC",45019,78,22.8,"342,627",HIV diagnoses
2016,"Charleston County, SC",45019,70,20.7,"337,886",HIV diagnoses
2015,"Charleston County, SC",45019,83,25.1,"331,170",HIV diagnoses
2014,"Charleston County, SC",45019,103,31.9,"322,848",HIV diagnoses
2013,"Charleston County, SC",45019,81,25.7,"315,550",HIV diagnoses
2012,"Charleston County, SC",45019,75,24.3,"308,914",HIV diagnoses
2011,"Charleston County, SC",45019,92,30.4,"302,221",HIV diagnoses
2010,"Charleston County, SC",45019,87,29.3,"296,778",HIV diagnoses
2009,"Charleston County, SC",45019,73,24.4,"298,763",HIV diagnoses
2008,"Charleston County, SC",45019,73,24.8,"294,074",HIV diagnoses
2018,"Charlevoix County, MI",26029,0,0,"22,893",HIV diagnoses
2017,"Charlevoix County, MI",26029,0,0,"22,769",HIV diagnoses
2016,"Charlevoix County, MI",26029,0,0,"22,671",HIV diagnoses
2015,"Charlevoix County, MI",26029,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Charlevoix County, MI",26029,0,0,"22,618",HIV diagnoses
2013,"Charlevoix County, MI",26029,0,0,"22,532",HIV diagnoses
2012,"Charlevoix County, MI",26029,0,0,"22,406",HIV diagnoses
2011,"Charlevoix County, MI",26029,0,0,"22,236",HIV diagnoses
2010,"Charlevoix County, MI",26029,0,0,"22,016",HIV diagnoses
2009,"Charlevoix County, MI",26029,0,0,"21,899",HIV diagnoses
2008,"Charlevoix County, MI",26029,0,0,"22,011",HIV diagnoses
2018,"Charlotte County, VA",51037,0,0,"10,163",HIV diagnoses
2017,"Charlotte County, VA",51037,0,0,"10,273",HIV diagnoses
2016,"Charlotte County, VA",51037,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Charlotte County, VA",51037,0,0,"10,385",HIV diagnoses
2014,"Charlotte County, VA",51037,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Charlotte County, VA",51037,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Charlotte County, VA",51037,0,0,"10,530",HIV diagnoses
2011,"Charlotte County, VA",51037,0,0,"10,578",HIV diagnoses
2010,"Charlotte County, VA",51037,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Charlotte County, VA",51037,0,0,"10,152",HIV diagnoses
2008,"Charlotte County, VA",51037,0,0,"10,273",HIV diagnoses
2018,"Charlotte County, FL",12015,7,4.1,"169,763",HIV diagnoses
2017,"Charlotte County, FL",12015,5,3,"166,191",HIV diagnoses
2016,"Charlotte County, FL",12015,9,5.5,"162,251",HIV diagnoses
2015,"Charlotte County, FL",12015,8,5.1,"157,176",HIV diagnoses
2014,"Charlotte County, FL",12015,8,5.2,"153,010",HIV diagnoses
2013,"Charlotte County, FL",12015,9,6,"149,643",HIV diagnoses
2012,"Charlotte County, FL",12015,11,7.5,"147,551",HIV diagnoses
2011,"Charlotte County, FL",12015,9,6.2,"144,642",HIV diagnoses
2010,"Charlotte County, FL",12015,14,9.7,"144,338",HIV diagnoses
2009,"Charlotte County, FL",12015,8,5.7,"141,076",HIV diagnoses
2008,"Charlotte County, FL",12015,17,12,"141,516",HIV diagnoses
2018,"Charlottesville City, VA",51540,11,26.1,"42,165",HIV diagnoses
2017,"Charlottesville City, VA",51540,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Charlottesville City, VA",51540,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Charlottesville City, VA",51540,9,22,"40,955",HIV diagnoses
2014,"Charlottesville City, VA",51540,6,14.9,"40,226",HIV diagnoses
2013,"Charlottesville City, VA",51540,12,30.2,"39,793",HIV diagnoses
2012,"Charlottesville City, VA",51540,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Charlottesville City, VA",51540,8,20.6,"38,867",HIV diagnoses
2010,"Charlottesville City, VA",51540,5,13,"38,587",HIV diagnoses
2009,"Charlottesville City, VA",51540,10,27,"37,011",HIV diagnoses
2008,"Charlottesville City, VA",51540,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Charlton County, GA",13049,11,98.7,"11,148",HIV diagnoses
2017,"Charlton County, GA",13049,7,63.5,"11,017",HIV diagnoses
2016,"Charlton County, GA",13049,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Charlton County, GA",13049,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Charlton County, GA",13049,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Charlton County, GA",13049,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Charlton County, GA",13049,0,0,"11,473",HIV diagnoses
2011,"Charlton County, GA",13049,0,0,"11,604",HIV diagnoses
2010,"Charlton County, GA",13049,0,0,"11,001",HIV diagnoses
2009,"Charlton County, GA",13049,0,0,"9,106",HIV diagnoses
2008,"Charlton County, GA",13049,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Chase County, KS",20017,0,0,"2,253",HIV diagnoses
