Year,Geography,13-24,,25-34,,35-44,,45-54,,55+,
2013,Wisconsin,261,27.8,826,113.1,"1,249",180.2,"1,956",235,"1,363",84.7
2013,Wyoming,7,7.4,30,36.8,64,92.4,77,101.4,76,47.8
2014,Alabama,696,86.6,"2,291",366.9,"2,810",465.1,"3,808",580.2,"2,734",199.5
2014,Alaska,18,14,79,67.7,138,151.2,221,223.3,166,101.2
2014,Arizona,520,45.8,"2,037",224.8,"3,178",379.9,"4,943",589.9,"3,642",196.7
2014,Arkansas,293,59.8,822,213,"1,150",315.7,"1,650",428.2,"1,095",131.2
2014,California,"3,217",49,"15,716",275.2,"24,006",466.6,"41,094",789.7,"33,542",354.9
2014,Colorado,212,24.6,"1,297",162.2,"2,085",287.6,"3,841",536.5,"3,406",253
2014,Connecticut,298,50.5,936,213.7,"1,687",385.3,"3,565",652.8,"3,498",333.2
2014,Delaware,108,73.4,376,306.7,542,491.5,"1,089",841.9,950,342.4
2014,District of Columbia,494,477,"2,090",1359.9,"2,913",3154.8,"4,661",6083.5,"4,075",2780.3
2014,Florida,"3,705",125.2,"13,083",517.1,"20,554",847.6,"34,786",1271.9,"29,121",459.7
2014,Georgia,"2,388",139,"9,074",658.4,"10,858",793.9,"14,735",1054.2,"9,933",409.3
2014,Hawaii,38,17.8,256,126,397,225.6,880,484.3,893,216.1
2014,Idaho,25,9,128,59.7,213,106.7,387,194.5,254,59
2014,Illinois,"1,670",79,"5,544",309.2,"7,292",436,"10,662",604.2,"8,159",238.9
2014,Indiana,580,51.4,"1,615",191.2,"2,333",283.6,"3,372",379.5,"2,183",122.5
2014,Iowa,85,16,353,90.1,556,153.2,749,184.9,586,65.4
2014,Kansas,116,23.2,438,113.5,670,194.2,951,257.9,653,84
2014,Kentucky,297,41.4,"1,061",187,"1,526",272.2,"2,147",352.1,"1,438",116.7
2014,Louisiana,"1,154",149.1,"3,677",549.3,"4,469",792.6,"5,344",874.3,"3,874",317.4
2014,Maine,20,10.4,113,74.2,246,157.9,538,268.9,482,107.3
2014,Maryland,"1,263",134.1,"4,520",550.2,"6,124",800.4,"10,254",1168.7,"8,499",534.9
2014,Massachusetts,517,46.3,"1,823",194.5,"3,447",411.4,"7,393",749.1,"6,117",320.8
2014,Michigan,924,54.7,"2,538",211.6,"2,996",251.6,"4,640",332.9,"3,452",119.1
2014,Minnesota,274,31.7,"1,181",158.2,"1,726",258,"2,545",336.5,"1,720",115.6
2014,Mississippi,557,107.3,"1,659",424.1,"2,038",553,"2,683",688.9,"1,871",234.2
2014,Missouri,580,58.7,"1,825",227.7,"2,495",342,"3,878",473.9,"2,606",151.4
2014,Montana,9,5.5,72,55.6,114,98.4,215,164,132,41.3
2014,Nebraska,85,26.9,304,119.8,518,230.4,670,280.9,379,75
2014,Nevada,339,78,"1,326",327.8,"1,720",452.8,"2,639",692.5,"1,982",266.8
2014,New Hampshire,34,15.9,112,72.2,208,130.9,478,227,362,88.2
2014,New Jersey,"1,130",82.2,"3,641",323.7,"5,963",513.5,"11,946",899.6,"11,631",471.8
2014,New Mexico,90,25.7,432,154.2,626,256.1,"1,015",383.1,895,152.4
2014,New York,"4,270",135.6,"14,782",522.1,"21,668",872.9,"41,397",1494.7,"40,917",755.2
2014,North Carolina,"1,344",82.5,"4,400",339.6,"6,191",474.6,"9,322",680.6,"6,870",254.2
2014,North Dakota,15,11.2,51,46.8,72,87.5,103,115,51,25.9
2014,Ohio,"1,084",57.6,"3,212",218.6,"4,140",294.5,"6,606",413,"4,482",132.8
2014,Oklahoma,242,37.1,920,171.7,"1,297",275.1,"1,901",388.4,"1,203",116.2
2014,Oregon,126,20.7,724,132.8,"1,349",261.2,"2,216",433.9,"1,752",150.2
2014,Pennsylvania,"1,394",68.6,"4,405",269.5,"6,277",415.6,"11,461",636.2,"9,431",241.8
2014,Rhode Island,67,36.9,257,185,457,364.9,850,557.3,671,217.2
2014,South Carolina,825,104.7,"2,388",382.1,"3,234",543.8,"5,227",806.2,"3,966",285.2
2014,South Dakota,11,7.9,71,63.1,118,123.5,182,169.8,117,48.8
2014,Tennessee,804,76.4,"2,746",318.7,"3,847",458.8,"5,164",576.3,"3,314",181.8
2014,Texas,"4,033",85.4,"14,670",372.1,"19,439",534.4,"24,433",705.2,"15,813",262
2014,Utah,65,11.4,379,86,619,161.2,846,277,646,113.4
2014,Vermont,20,19.1,50,69.8,94,131.6,242,264.6,228,113
2014,Virginia,931,69.3,"2,999",257.5,"4,131",378.9,"6,830",578,"5,562",253.9
2014,Washington,295,26.6,"1,499",147.1,"2,692",292.5,"4,318",455.6,"3,132",164.9
2014,West Virginia,70,24.9,202,92.6,405,176.7,605,241.2,454,75.7
2014,Wisconsin,262,27.8,860,117.8,"1,196",173.4,"1,930",236.9,"1,518",92
2014,Wyoming,6,6.4,27,33,66,94.7,81,111.1,80,49.3
2015,Alabama,688,86.9,"2,311",367,"2,631",438.2,"3,585",552.4,"2,951",210.8
2015,Alaska,19,15,81,68.6,133,145.6,242,251.5,178,105.3
2015,Arizona,541,47.6,"2,145",232.3,"3,136",371.9,"4,999",593.9,"4,099",213.6
2015,Arkansas,281,57.8,860,221.3,"1,090",298.7,"1,696",444.4,"1,243",146.3
2015,California,"3,291",50.8,"16,332",280.4,"23,507",456.3,"41,094",790.5,"37,107",380.9
2015,Colorado,238,27.3,"1,317",159.5,"2,099",285.1,"3,813",532,"3,780",271.2
2015,Connecticut,278,47.3,955,218.2,"1,617",376.3,"3,447",643.3,"3,845",359
2015,Delaware,103,71.1,384,306.7,518,471.1,"1,047",814.8,"1,043",363.5
2015,District of Columbia,438,427.1,"2,055",1306.5,"2,785",2905.3,"4,524",5898.8,"4,476",2986.7
2015,Florida,"3,586",121.7,"13,699",525.1,"20,198",824.6,"34,828",1268.2,"32,264",492.3
2015,Georgia,"2,395",139.2,"9,690",693.5,"10,804",791.2,"14,981",1066.1,"11,025",439.5
2015,Hawaii,38,18.1,281,136.7,386,218.8,856,477.1,965,228.6
2015,Idaho,25,9,128,59.1,209,103.1,369,186.1,303,68.2
2015,Illinois,"1,667",79.8,"5,754",322.5,"7,165",431.3,"10,576",608.6,"8,894",255.2
2015,Indiana,525,46.8,"1,807",213.3,"2,330",284.1,"3,432",391.9,"2,476",136.1
2015,Iowa,83,15.7,346,88.3,566,154.9,756,190.5,649,71.1
2015,Kansas,104,20.7,450,116.5,634,182.9,899,248.9,709,89.5
2015,Kentucky,287,40.3,"1,108",194.7,"1,482",265.4,"2,142",355.7,"1,593",126.7
2015,Louisiana,"1,115",146.1,"3,854",570.4,"4,545",800.2,"5,369",894.2,"4,346",347.4
2015,Maine,30,15.8,100,65.2,255,166.4,505,258.8,532,116.1
2015,Maryland,"1,201",128.8,"4,911",593.4,"6,173",808.7,"10,492",1209.4,"9,497",582.2
2015,Massachusetts,506,45.5,"1,864",196.3,"3,316",398.7,"7,209",738.9,"6,773",346.9
2015,Michigan,848,50.9,"2,574",211.1,"2,782",236.8,"4,484",327.2,"3,699",125.2
2015,Minnesota,266,30.8,"1,209",161.9,"1,701",252.9,"2,594",349.6,"1,946",127.3
2015,Mississippi,587,114.8,"1,684",430.6,"2,009",547,"2,720",708.5,"2,096",257.2
2015,Missouri,550,56.1,"1,896",235.5,"2,476",339.2,"3,885",484,"2,940",167.3
2015,Montana,13,8,67,51.2,116,98.5,213,166.5,157,48
2015,Nebraska,76,23.9,304,120.2,521,229.1,668,285.9,443,85.8
2015,Nevada,338,78,"1,461",352.3,"1,730",451.9,"2,752",714.3,"2,208",286.4
2015,New Hampshire,28,13.2,112,71,191,122.6,424,205.5,391,92.7
2015,New Jersey,"1,044",76.5,"3,746",332.7,"5,624",490,"11,503",877.7,"12,505",496.6
2015,New Mexico,96,27.7,460,163.8,614,251,"1,035",400.5,976,162.4
2015,New York,"3,837",124.2,"15,143",530.7,"20,621",838.8,"40,172",1470.3,"44,195",798.7
2015,North Carolina,"1,353",82.9,"4,609",350.9,"6,030",465,"9,393",682.9,"7,704",276.7
2015,North Dakota,13,9.7,62,54.3,78,91.6,111,126,65,32.3
2015,Ohio,"1,035",55.5,"3,444",231.7,"4,069",291.7,"6,634",421.9,"5,089",148.1
2015,Oklahoma,234,35.8,947,174.7,"1,321",277.3,"1,899",393.1,"1,339",126.7
2015,Oregon,127,20.9,812,145.8,"1,341",255.8,"2,297",448.4,"1,963",163.9
2015,Pennsylvania,"1,295",64.8,"4,586",277.3,"6,045",404.4,"11,240",635.5,"10,371",261.5
2015,Rhode Island,54,30.2,259,183.5,442,356.8,818,544.8,750,238.6
2015,South Carolina,742,94.5,"2,521",393.8,"3,108",520.5,"5,218",803.6,"4,397",305.8
2015,South Dakota,14,10.1,65,57.9,133,137.4,182,174.8,130,52.9
2015,Tennessee,774,73.9,"2,879",328.7,"3,734",446.9,"5,270",589.8,"3,701",198.3
2015,Texas,"4,063",85.2,"15,588",386.4,"19,552",528.2,"24,818",710.5,"17,794",284.9
2015,Utah,68,11.7,396,89.7,637,160.7,815,264.5,718,121.9
2015,Vermont,17,16.3,48,66.8,92,130.4,241,270.5,245,119.1
2015,Virginia,905,67.6,"3,110",265.9,"4,016",368.7,"6,720",573.6,"6,162",273.7
2015,Washington,289,26.1,"1,579",150.2,"2,602",279.5,"4,405",464.6,"3,498",178.6
2015,West Virginia,66,24,198,90.9,366,161.3,590,239.2,485,80.1
2015,Wisconsin,234,24.9,889,122.4,"1,175",170.7,"1,918",240.6,"1,635",96.8
2015,Wyoming,11,11.8,32,38.9,67,94.7,89,125.9,86,51.7
2016,Alabama,659,84.5,"2,415",379.7,"2,666",448.7,"3,578",555.7,"3,266",228.6
2016,Alaska,20,16.1,92,76.3,140,151.9,235,250.3,203,117
2016,Arizona,579,50.8,"2,218",234.5,"3,138",368.9,"4,956",584.9,"4,535",228.1
2016,Arkansas,277,57.5,948,241.5,"1,121",307.4,"1,693",447.2,"1,379",159.4
2016,California,"3,307",51.8,"17,151",288.8,"23,499",455.3,"40,297",778,"40,888",408.9
2016,Colorado,261,29.7,"1,485",174.4,"2,163",289.6,"3,898",543.3,"4,227",293.9
2016,Connecticut,249,42.6,990,225.9,"1,525",360.8,"3,288",627.8,"4,069",373
2016,Delaware,85,59.5,408,321,500,458.1,"1,021",802.5,"1,127",379.5
2016,District of Columbia,372,366.8,"2,067",1285.9,"2,789",2812.3,"4,344",5628.6,"4,811",3157.4
2016,Florida,"3,462",117.8,"14,151",525.6,"19,934",804.3,"34,293",1241.3,"35,383",521.4
2016,Georgia,"2,403",139.4,"10,263",719.8,"10,734",788.1,"14,944",1056.2,"12,245",472.8
2016,Hawaii,43,20.7,274,131.9,379,213.6,776,437.2,"1,047",243.4
2016,Idaho,32,11.3,135,61,211,101.9,363,182.7,352,76.6
2016,Illinois,"1,562",75.9,"5,994",336.5,"7,063",429.6,"10,325",603.5,"9,666",272.3
2016,Indiana,494,44.3,"1,901",222.1,"2,285",280.4,"3,400",392.8,"2,802",150.8
2016,Iowa,99,18.8,358,90.9,567,154.4,789,202.9,730,78.7
2016,Kansas,108,21.6,483,125.3,624,179.3,920,260.5,782,96.8
2016,Kentucky,272,38.5,"1,194",207.5,"1,481",267.8,"2,107",353.7,"1,792",139.9
2016,Louisiana,"1,080",144.2,"3,987",586.1,"4,714",823.9,"5,317",900.5,"4,834",377.8
2016,Maine,31,16.6,114,73.2,285,188.3,495,259.5,606,129.4
2016,Maryland,"1,082",117.4,"4,883",588.2,"5,940",781.1,"9,831",1149.2,"10,191",609.8
2016,Massachusetts,471,42.4,"1,954",203,"3,214",389.1,"6,931",721,"7,409",371.2
2016,Michigan,826,50.4,"2,845",227.8,"2,878",248,"4,511",334.4,"4,177",138.7
2016,Minnesota,276,31.9,"1,237",165.1,"1,753",258.3,"2,561",352.1,"2,184",139.2
2016,Mississippi,540,107.3,"1,713",435.7,"2,010",549.9,"2,707",712.4,"2,267",273.1
2016,Missouri,525,54.1,"1,957",241.2,"2,426",332.7,"3,817",484.1,"3,277",182.6
2016,Montana,14,8.6,69,51.9,106,88.6,209,166.7,185,55.2
2016,Nebraska,74,23.1,307,120.9,511,221.8,692,302.1,488,92.6
2016,Nevada,316,72.9,"1,619",380.8,"1,800",466.1,"2,794",716.8,"2,420",303.3
2016,New Hampshire,28,13.3,112,69.4,190,123.9,413,204.7,423,97.4
2016,New Jersey,954,70.5,"3,867",341.5,"5,380",474.2,"10,860",841.9,"13,367",520.3
2016,New Mexico,102,29.7,475,167.8,620,253.1,"1,013",400.9,"1,065",173.3
2016,New York,"3,457",113.9,"15,680",545.7,"20,371",837.3,"38,535",1433.5,"47,507",842.9
2016,North Carolina,"1,334",81.3,"4,861",362.1,"5,870",455.8,"9,435",681.6,"8,501",296.5
2016,North Dakota,16,12.2,72,62.8,86,99.8,113,132.7,84,41
2016,Ohio,"1,002",54.3,"3,738",248.1,"4,077",295,"6,589",425.7,"5,742",164.2
2016,Oklahoma,232,35.7,"1,024",187.3,"1,301",271.6,"1,857",389.6,"1,501",139.4
2016,Oregon,123,20.2,798,138.2,"1,311",245,"2,271",440.6,"2,195",178.6
2016,Pennsylvania,"1,242",63,"4,896",293,"6,175",417.1,"11,505",663.1,"11,799",292.7
2016,Rhode Island,60,34,273,190.2,443,359.9,807,549.2,821,256.4
2016,South Carolina,728,93.2,"2,637",403,"3,084",515.1,"5,133",788.7,"4,823",324.6
2016,South Dakota,16,11.5,58,51.2,138,139.9,177,174,147,58.4
2016,Tennessee,719,69,"2,855",318.7,"3,580",431.2,"5,082",568.7,"3,947",206.7
2016,Texas,"4,009",83.5,"16,452",399.3,"19,683",524.6,"24,809",703.6,"19,727",305.9
2016,Utah,80,13.6,393,87.3,632,154.5,826,264.2,777,127.5
2016,Vermont,17,16.4,54,74.8,89,128.1,224,259.6,272,129.7
2016,Virginia,802,60.1,"3,346",284.6,"3,944",363,"6,574",566.6,"6,693",289.7
2016,Washington,294,26.6,"1,613",148,"2,583",272.6,"4,364",460.3,"3,860",191.2
2016,West Virginia,47,17.4,217,99.5,349,156.8,585,241,551,90.2
2016,Wisconsin,238,25.5,937,128.9,"1,140",165.9,"1,877",240.9,"1,807",104.5
2016,Wyoming,13,14.2,45,55.2,62,87.1,91,132.8,99,58.4
2017,Alabama,661,85.8,"2,568",401.2,"2,670",451.2,"3,636",571.3,"3,589",246.5
2017,Alaska,21,17.4,102,84.8,141,151.6,223,244.6,233,131.1
2017,Arizona,544,47.7,"2,378",246.4,"3,183",368.6,"4,876",573.7,"5,081",247.2
2017,Arkansas,281,58.6,"1,034",261.5,"1,142",311.8,"1,641",438.3,"1,536",174.4
2017,California,"3,254",51.5,"17,637",293.8,"23,718",455.9,"38,856",756.7,"44,688",436.8
2017,Colorado,285,32.3,"1,523",174.4,"2,195",288.6,"3,697",517.3,"4,652",314.5
2017,Connecticut,245,42.2,998,226.5,"1,521",361.2,"3,189",624.9,"4,375",394.5
2017,Delaware,91,63.9,403,314.9,512,467.2,"1,019",815,"1,260",410.9
2017,District of Columbia,339,335.9,"2,055",1259.3,"2,711",2647.7,"4,094",5355.4,"5,117",3326.1
2017,Florida,"3,331",113.2,"14,632",532.3,"19,911",790.8,"33,136",1199.5,"39,024",557.5
2017,Georgia,"2,304",133.4,"10,820",745.8,"10,964",803.5,"14,817",1046,"13,623",510.6
2017,Hawaii,38,18.7,275,133.7,386,216.1,699,401.3,"1,126",258.2
2017,Idaho,33,11.5,143,63.1,223,104.7,344,172.5,402,84.4
2017,Illinois,"1,455",71.6,"6,093",343,"7,011",428.1,"10,048",598.4,"10,469",290.2
2017,Indiana,457,41.2,"2,011",231.7,"2,284",279.8,"3,344",391.8,"3,122",164.9
2017,Iowa,114,21.7,382,96.4,554,148.6,790,207.6,831,88.1
2017,Kansas,124,25,481,125.2,613,174.4,896,259.7,883,107.4
2017,Kentucky,266,37.8,"1,258",216.3,"1,509",274.1,"2,088",355.4,"1,987",152.3
2017,Louisiana,"1,003",136.3,"4,118",609.7,"4,731",820.7,"5,216",902.5,"5,356",411.1
2017,Maine,33,17.9,118,74.6,265,175.2,497,267,663,138.6
2017,Maryland,"1,038",113.4,"4,931",592.5,"5,956",778.8,"9,499",1131.1,"11,012",644.7
2017,Massachusetts,462,41.6,"2,069",211.7,"3,205",386.1,"6,554",694.8,"8,084",396.8
2017,Michigan,780,48.1,"3,014",236.5,"2,923",252.4,"4,382",331.4,"4,568",149
2017,Minnesota,273,31.6,"1,256",166.2,"1,761",254.2,"2,561",360.5,"2,453",152.6
2017,Mississippi,496,99.6,"1,741",441.1,"2,034",557.3,"2,675",712.7,"2,453",290
2017,Missouri,505,52.5,"2,051",250.1,"2,389",325.3,"3,662",474.9,"3,701",202.2
2017,Montana,17,10.5,69,50.8,128,104,202,164.4,209,60.9
2017,Nebraska,66,20.6,330,129.2,511,218.2,675,300.4,554,103.2
2017,Nevada,307,70.5,"1,766",406.1,"1,916",487.6,"2,873",732.3,"2,747",333
2017,New Hampshire,24,11.5,115,69.4,188,122.8,403,205,459,102.9
2017,New Jersey,892,66.3,"3,970",347.5,"5,247",463.3,"10,378",820,"14,404",551.1
2017,New Mexico,107,31.6,497,174.9,639,258.7,996,404.4,"1,189",189.3
2017,New York,"3,108",104.1,"15,968",555.4,"20,178",831.8,"36,459",1387.2,"50,782",887.1
2017,North Carolina,"1,249",76.1,"5,158",376.7,"5,891",457.2,"9,206",665,"9,449",320.4
2017,North Dakota,18,13.9,79,69.1,96,108.9,120,146.1,94,45.1
2017,Ohio,962,52.5,"3,987",261.1,"4,150",300.4,"6,370",419.3,"6,430",180.9
2017,Oklahoma,202,31.3,"1,079",197.6,"1,300",269,"1,818",387.7,"1,685",153.9
2017,Oregon,123,20.2,820,139.3,"1,317",240.3,"2,203",427.7,"2,416",192.2
2017,Pennsylvania,"1,184",60.8,"4,993",296.1,"6,104",411.6,"10,614",625.6,"12,625",308.7
2017,Rhode Island,59,33.8,282,195.5,444,360.4,830,579.5,932,285.8
2017,South Carolina,673,86.2,"2,794",420.1,"3,107",514.8,"4,959",762.9,"5,325",347.8
2017,South Dakota,18,12.8,69,59.9,141,139.1,174,174.9,166,64.4
2017,Tennessee,701,67.4,"2,955",322.9,"3,556",426.6,"5,027",564.4,"4,373",224.1
2017,Texas,"3,873",80.3,"17,359",414.8,"20,145",528.7,"24,786",699.5,"21,936",330.2
2017,Utah,81,13.5,402,87.7,614,145.4,797,251.2,863,136.9
2017,Vermont,19,18.5,58,79.5,98,140.5,218,260.7,300,140.3
2017,Virginia,772,57.9,"3,545",299.4,"4,027",369,"6,434",561.4,"7,371",311.5
2017,Washington,286,25.8,"1,669",148.3,"2,630",269.9,"4,279",453.3,"4,341",209.3
2017,West Virginia,54,20.4,213,98.2,353,161.2,585,244.8,605,98.4
2017,Wisconsin,256,27.6,983,134.3,"1,149",165.6,"1,827",240.6,"2,001",113.2
2017,Wyoming,10,11.2,47,59.2,70,97.9,88,132.3,111,64.4
