Drugs,Side_Effects,Reasons,Classify
Evotaz,itching and rash,HIV,MMC
Evotaz,hives,HIV,MMC
Evotaz,nausea,HIV,MMC
Evotaz,diarrhea,HIV,MMC
Evotaz,vomiting,HIV,MMC
Evotaz,abdominal pain,HIV,MMC
Evotaz,fatigue,HIV,MMC
Evotaz,muscle tissue breakdown (rhabdomyolysis),HIV,MMC
Evotaz,headache,HIV,MMC
Evotaz,depression,HIV,MMC
Evotaz,abnormal or strange dreams,HIV,MMC
Evotaz,insomnia and,HIV,MMC
Evotaz,kidney disease,HIV,MMC
Juluca,diarrhea and,HIV,MMC
Juluca,headache,HIV,MMC
Juluca,other antiretroviral medications,HIV,MMC
Juluca,dofetilide,HIV,MMC
Juluca,metformin,HIV,MMC
Juluca,antacids,HIV,MMC
Juluca,anticonvulsants,HIV,MMC
Juluca,antimycobacterials,HIV,MMC
Juluca,glucocorticoids,HIV,MMC
Juluca,H2-receptor antagonists,HIV,MMC
Juluca,St John's wort,HIV,MMC
Juluca,macrolide or ketolide antibiotics,HIV,MMC
Juluca,cation-containing products or laxatives,HIV,MMC
Juluca,sucralfate,HIV,MMC
Juluca,buffered medications,HIV,MMC
Juluca,narcotic analgesics,HIV,MMC
Juluca,oral calcium and iron supplements (including multivitamins containing calcium or iron),HIV,MMC
Juluca,and proton pump inhibitors (PPIs),HIV,MMC
Odefsey,depressive disorders (depressed mood depression general unease mood changes negative thoughts suicide attempts suicidal ideation),HIV,MMC
Odefsey,insomnia,HIV,MMC
Odefsey,headache,HIV,MMC
Odefsey,nausea,HIV,MMC
Odefsey,drowsiness,HIV,MMC
Odefsey,dizziness,HIV,MMC
Odefsey,abdomincal pain,HIV,MMC
Odefsey,rash,HIV,MMC
Odefsey,weight gain and,HIV,MMC
Odefsey,redistribution of body fat,HIV,MMC
Prezcobix,diarrhea,HIV,MMC
Prezcobix,nausea,HIV,MMC
Prezcobix,rash,HIV,MMC
Prezcobix,headache,HIV,MMC
Prezcobix,abdominal pain,HIV,MMC
Prezcobix,vomiting and,HIV,MMC
Prezcobix,changes in body fat distribution,HIV,MMC
Symfi,trouble concentrating,HIV,MMC
Symfi,abnormal dreams,HIV,MMC
Symfi,headache,HIV,MMC
Symfi,nausea,HIV,MMC
Symfi,feeling unwell (malaise),HIV,MMC
Symfi,fatigue,HIV,MMC
Symfi,nasal signs and symptoms,HIV,MMC
Symfi,diarrhea,HIV,MMC
Symfi,rash,HIV,MMC
Symfi,dizziness,HIV,MMC
Symfi,trouble sleeping (insomnia),HIV,MMC
Symfi,pain,HIV,MMC
Symfi,depression,HIV,MMC
Symfi,weakness and,HIV,MMC
Symfi,cough,HIV,MMC
Stribild,yellowing skin or eyes (jaundice),HIV,MMC
Stribild,diarrhea,HIV,MMC
Stribild,gas,HIV,MMC
Stribild,nausea,HIV,MMC
Stribild,fatigue,HIV,MMC
Stribild,drowsiness,HIV,MMC
Stribild,dizziness,HIV,MMC
Stribild,headache,HIV,MMC
Stribild,insomnia,HIV,MMC
Stribild,abnormal dreams,HIV,MMC
Stribild,rash,HIV,MMC
Stribild,bone problems,HIV,MMC
Stribild,changes in fat such as an increased amount of fat in the head and neck,HIV,MMC
Stribild,changes in the immune system that may result in a condition called immune reconstitution syndrome,HIV,MMC
Stribild,buildup of an acid in your blood (lactic acidosis),HIV,MMC
Stribild,serious liver problems and,HIV,MMC
Stribild,worsening hepatitis B (HBV) infection,HIV,MMC
Symtuza,diarrhea,HIV,MMC
Symtuza,rash,HIV,MMC
Symtuza,nausea,HIV,MMC
Symtuza,fatigue,HIV,MMC
Symtuza,headache,HIV,MMC
Symtuza,abdominal discomfort and,HIV,MMC
Symtuza,gas,HIV,MMC
Triumeq,insomnia,HIV,MMC
Triumeq,headache,HIV,MMC
Triumeq,fatigue,HIV,MMC
Triumeq,diarrhea,HIV,MMC
Triumeq,nausea,HIV,MMC
Triumeq,vomiting,HIV,MMC
Triumeq,fever,HIV,MMC
Triumeq,loss of appetite,HIV,MMC
Triumeq,low energy,HIV,MMC
Triumeq,nightmares or abnormal dreams,HIV,MMC
Triumeq,abnormal body fat distribution,HIV,MMC
Triumeq,numbness and tingling,HIV,MMC
Triumeq,hypersensitivity reactions (fever rash shortness of breath cough or sore throat),HIV,MMC
Triumeq,joint pain or swelling,HIV,MMC
Triumeq,muscle pain,HIV,MMC
Triumeq,extremity swelling,HIV,MMC
Triumeq,depression,HIV,MMC
Triumeq,dizziness and,HIV,MMC
Triumeq,spinning sensation (vertigo),HIV,MMC
Descovy,nausea,HIV,NRT
Descovy,changes in body fat distribution,HIV,NRT
Descovy,changes in your immune system,HIV,NRT
Descovy,new or worse kidney problems including kidney failure,HIV,NRT
Descovy,"bone problems such as bone pain softening or thinning and fractures 
	 or",HIV,NRT
Descovy,increased cholesterol,HIV,NRT
Truvada,nausea,PrEP,PrEP
Truvada,vomiting,PrEP,PrEP
Truvada,stomach pain,PrEP,PrEP
Truvada,diarrhea,PrEP,PrEP
Truvada,headache,PrEP,PrEP
Truvada,dizziness,PrEP,PrEP
Truvada,depression,PrEP,PrEP
Truvada,joint pain,PrEP,PrEP
Truvada,trouble sleeping,PrEP,PrEP
Truvada,strange dreams,PrEP,PrEP
Truvada,back pain,PrEP,PrEP
Truvada,itching or skin rash,PrEP,PrEP
Truvada,changes in the color of skin on your palms or soles of your feet or,PrEP,PrEP
Truvada,changes in the shape or location of body fat (especially in your arms legs face neck breasts and waist),PrEP,PrEP
Truvada,mental mood changes (such as depression anxiety),PrEP,PrEP
Truvada,loss of appetite,PrEP,PrEP
Truvada,stomach or abdominal pain,PrEP,PrEP
Truvada,pink or bloody urine or,PrEP,PrEP
Truvada,changes in the amount of urine,PrEP,PrEP
Descovy,nausea,PrEP,PrEP
Descovy,changes in body fat distribution,PrEP,PrEP
Descovy,changes in your immune system,PrEP,PrEP
Descovy,new or worse kidney problems including kidney failure,PrEP,PrEP
Descovy,"bone problems such as bone pain softening or thinning and fractures 
	 or",PrEP,PrEP
Descovy,increased cholesterol,PrEP,PrEP
