"Date Printed: Sunday, February 9, 2020 10:50:02 PM"
Title: HIV viral suppression | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Percent,Population
"HIV viral suppression","2014","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,131",68.3,"773"
"HIV viral suppression","2015","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","843",70.6,"1,194"
"HIV viral suppression","2014","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","840",71.4,"1,176"
"HIV viral suppression","2013","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","809",70.3,"1,151"
"HIV viral suppression","2012","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","727",65.5,"1,110"
"HIV viral suppression","2011","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","638",58.3,"1,094"
"HIV viral suppression","2010","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","577",54.5,"1,058"
"HIV viral suppression","2016","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,126",70.4,"2,200"
"HIV viral suppression","2015","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,145",69.8,"3,074"
"HIV viral suppression","2014","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,121",71.5,"2,965"
"HIV viral suppression","2013","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,959",69.8,"2,808"
"HIV viral suppression","2012","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","123,789",62.9,"77,823"
"HIV viral suppression","2015","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","75,592",61.3,"123,329"
"HIV viral suppression","2014","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","73,653",58.8,"125,180"
"HIV viral suppression","2013","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","70,556",56.7,"124,437"
"HIV viral suppression","2012","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","67,627",55,"122,878"
"HIV viral suppression","2011","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","62,142",51.3,"121,061"
"HIV viral suppression","2010","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","59,194",49.6,"119,357"
"HIV viral suppression","2016","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","28,743",62.1,"17,861"
"HIV viral suppression","2015","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","17,252",61.5,"28,068"
"HIV viral suppression","2014","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","328",72.6,"238"
"HIV viral suppression","2015","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","222",70,"317"
"HIV viral suppression","2014","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","180",63.6,"283"
"HIV viral suppression","2013","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","148",61.7,"240"
"HIV viral suppression","2012","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","137",59.1,"232"
"HIV viral suppression","2011","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","117",57.6,"203"
"HIV viral suppression","2010","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","109",56.5,"193"
"HIV viral suppression","2016","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","20,282",51.7,"10,481"
"HIV viral suppression","2015","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,627",58.7,"3,305"
"HIV viral suppression","2015","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,501",56,"3,640"
"HIV viral suppression","2015","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,621",56.8,"6,375"
"HIV viral suppression","2014","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,664",60.8,"6,025"
"HIV viral suppression","2013","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,815",64.2,"5,941"
"HIV viral suppression","2012","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,496",59.8,"5,850"
"HIV viral suppression","2011","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,310",74.9,"1,731"
"HIV viral suppression","2015","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,631",71.9,"2,270"
"HIV viral suppression","2014","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,404",63.7,"2,204"
"HIV viral suppression","2013","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,700",61.8,"9,696"
"HIV viral suppression","2015","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,533",61.5,"15,505"
"HIV viral suppression","2014","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,327",61.5,"15,158"
"HIV viral suppression","2013","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,721",58.4,"14,944"
"HIV viral suppression","2012","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,388",56.2,"14,937"
"HIV viral suppression","2011","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,928",49.8,"15,930"
"HIV viral suppression","2010","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,851",51.1,"13,412"
"HIV viral suppression","2016","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","483",45.1,"218"
"HIV viral suppression","2015","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","209",42.6,"491"
"HIV viral suppression","2014","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","184",40.4,"455"
"HIV viral suppression","2013","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","171",40.2,"425"
"HIV viral suppression","2012","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","157",40.1,"392"
"HIV viral suppression","2011","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","15,553",55,"8,552"
"HIV viral suppression","2015","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,957",52.9,"15,040"
"HIV viral suppression","2014","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,402",55.3,"15,200"
"HIV viral suppression","2013","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,696",55.3,"15,736"
"HIV viral suppression","2012","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,253",53.8,"15,352"
"HIV viral suppression","2011","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","80,232",60.5,"48,519"
"HIV viral suppression","2015","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","46,025",59.4,"77,449"
"HIV viral suppression","2014","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","45,256",61.2,"73,962"
"HIV viral suppression","2013","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","40,996",58,"70,739"
"HIV viral suppression","2012","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","35,463",52.6,"67,441"
"HIV viral suppression","2011","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","32,477",50.5,"64,356"
"HIV viral suppression","2010","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,591",51.7,"1,340"
"HIV viral suppression","2015","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,294",50.8,"2,546"
"HIV viral suppression","2014","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,171",46.7,"2,510"
"HIV viral suppression","2013","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,101",45.5,"2,419"
"HIV viral suppression","2012","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","975",44,"2,215"
"HIV viral suppression","2011","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","944",43.4,"2,175"
"HIV viral suppression","2010","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2015","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2014","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2013","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2012","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","20,611",51.8,"10,675"
"HIV viral suppression","2015","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9,065",44.8,"20,216"
"HIV viral suppression","2014","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,014",34.3,"20,458"
"HIV viral suppression","2013","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,279",36.3,"20,064"
"HIV viral suppression","2012","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6,710",34,"19,748"
"HIV viral suppression","2011","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12,309",76.5,"9,418"
"HIV viral suppression","2015","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,995",74.9,"12,013"
"HIV viral suppression","2014","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8,342",71.9,"11,603"
"HIV viral suppression","2013","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,975",71.6,"11,134"
"HIV viral suppression","2012","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7,046",66.2,"10,636"
"HIV viral suppression","2011","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,702",57.5,"978"
"HIV viral suppression","2015","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","915",54.6,"1,676"
"HIV viral suppression","2014","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","914",52.9,"1,728"
"HIV viral suppression","2013","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","660",36.9,"1,788"
"HIV viral suppression","2012","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","806",44.9,"1,796"
"HIV viral suppression","2011","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","768",45.1,"1,702"
"HIV viral suppression","2010","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","680",42.2,"1,611"
"HIV viral suppression","2016","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5,783",69.2,"3,999"
"HIV viral suppression","2015","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,966",69.7,"5,691"
"HIV viral suppression","2014","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,558",62.6,"5,688"
"HIV viral suppression","2013","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","3,319",59.7,"5,562"
"HIV viral suppression","2012","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,865",56.3,"5,092"
"HIV viral suppression","2011","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2010","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2016","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","288",68.4,"197"
"HIV viral suppression","2015","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","159",58,"274"
"HIV viral suppression","2014","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","133",51.2,"260"
"HIV viral suppression","2013","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","133",53.2,"250"
"HIV viral suppression","2012","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"HIV viral suppression","2011","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","144",59.3,"243"
"HIV viral suppression","2010","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","131",52.2,"251"
