Full Name,Geography Type,Measure,Year,Diagnosis,Rate,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
Tennessee,State,New Diagnosis,2013,770,14.2,706,3,428,4,278,3,93,2,245,6,170,5,134,4,64,1
Texas,State,New Diagnosis,2013,4340,20.3,59,3,40,4,19,2,10,2,30,7,9,2,7,2,3,1
Utah,State,New Diagnosis,2013,109,4.9,7,1,3,1,4,1,1,1,2,3,2,3,1,1,1,1
Vermont,State,New Diagnosis,2013,13,2.4,282,4,149,4,133,4,54,4,95,8,56,5,53,4,25,1
Virginia,State,New Diagnosis,2013,944,13.7,271,5,165,6,106,4,32,3,92,9,78,9,45,5,24,1
Washington,State,New Diagnosis,2013,444,7.6,112,20,88,33,24,8,7,7,41,28,37,41,18,24,9,6
West Virginia,State,New Diagnosis,2013,73,4.6,30,2,16,2,14,2,6,2,7,3,8,3,7,3,2,0
Wisconsin,State,New Diagnosis,2013,243,5.1,107,2,67,3,40,2,21,2,37,5,22,3,18,2,9,1
Wyoming,State,New Diagnosis,2013,16,3.3,7,1,4,2,3,1,1,1,3,4,1,1,0,0,2,1
Alabama,State,New Diagnosis,2014,669,16.5,175,4,127,7,48,2,20,2,62,10,51,8,27,4,15,1
Alaska,State,New Diagnosis,2014,38,6.3,22,4,18,6,4,1,4,3,8,7,6,6,3,3,1,1
Arizona,State,New Diagnosis,2014,741,13.3,388,7,275,10,113,4,53,5,129,14,108,13,72,9,27,1
Arkansas,State,New Diagnosis,2014,312,12.7,105,4,74,6,31,2,16,3,40,11,26,7,13,3,10,1
California,State,New Diagnosis,2014,5169,16.1,3860,12,3349,21,511,3,321,5,1239,22,1060,21,885,17,371,4
Colorado,State,New Diagnosis,2014,378,8.5,383,9,277,12,106,5,65,8,148,19,100,14,56,8,14,1
Connecticut,State,New Diagnosis,2014,293,9.6,482,16,303,20,179,11,91,15,211,48,94,21,58,11,29,3
Delaware,State,New Diagnosis,2014,115,14.6,92,12,52,14,40,10,20,14,32,26,17,15,17,13,6,2
District of Columbia,State,New Diagnosis,2014,418,73,1829,11,1297,16,532,6,185,6,631,25,427,18,402,15,186,3
Florida,State,New Diagnosis,2014,4476,26.4,791,10,583,15,208,5,92,5,247,18,225,16,165,12,64,3
Georgia,State,New Diagnosis,2014,2380,28.7,64,5,49,8,15,3,10,5,21,10,15,9,8,4,10,2
Hawaii,State,New Diagnosis,2014,99,8.3,47,4,34,5,13,2,8,3,20,9,9,4,9,5,1,0
Idaho,State,New Diagnosis,2014,22,1.7,1575,15,1294,25,281,5,212,10,609,34,401,24,250,14,104,3
Illinois,State,New Diagnosis,2014,1533,14.2,256,5,176,7,80,3,36,3,118,14,53,6,30,3,17,1
Indiana,State,New Diagnosis,2014,466,8.5,148,6,92,7,56,4,28,5,52,13,37,10,24,6,7,1
Iowa,State,New Diagnosis,2014,94,3.6,127,5,90,8,37,3,23,5,49,13,33,9,16,4,7,1
Kansas,State,New Diagnosis,2014,131,5.5,161,4,106,6,55,3,33,5,56,10,42,7,21,3,9,1
Kentucky,State,New Diagnosis,2014,344,9.3,256,7,154,8,102,5,35,4,87,13,68,12,41,7,24,2
Louisiana,State,New Diagnosis,2014,1198,31.2,66,6,51,9,15,3,10,5,19,12,21,13,10,5,6,1
Maine,State,New Diagnosis,2014,57,5,532,11,351,15,181,7,62,7,214,26,121,16,81,9,54,3
Maryland,State,New Diagnosis,2014,1235,24.7,1806,31,1178,42,628,21,332,30,661,72,368,44,315,32,131,7
Massachusetts,State,New Diagnosis,2014,643,11.1,489,6,342,8,147,3,78,5,163,14,113,10,92,7,43,1
Michigan,State,New Diagnosis,2014,781,9.3,407,9,302,14,105,5,55,6,159,21,94,14,75,10,25,2
Minnesota,State,New Diagnosis,2014,311,6.9,111,4,67,6,44,3,22,4,37,10,30,8,20,5,3,0
Mississippi,State,New Diagnosis,2014,474,19.2,326,6,238,10,88,3,55,6,97,12,94,13,54,7,26,2
Missouri,State,New Diagnosis,2014,466,9.2,20,2,14,3,6,1,2,1,10,8,4,3,3,2,1,0
Montana,State,New Diagnosis,2014,14,1.6,63,4,42,6,21,3,10,3,30,12,16,7,6,3,1,0
Nebraska,State,New Diagnosis,2014,88,5.7,149,6,117,10,32,3,10,2,57,14,42,11,33,9,6,1
Nevada,State,New Diagnosis,2014,428,18.3,109,10,74,13,35,6,19,9,38,24,27,17,15,7,10,2
New Hampshire,State,New Diagnosis,2014,40,3.5,842,11,576,16,266,7,141,10,303,26,204,17,134,10,62,3
New Jersey,State,New Diagnosis,2014,1242,16.7,92,5,61,7,31,4,9,3,30,11,27,11,13,5,13,2
New Mexico,State,New Diagnosis,2014,133,7.7,4253,25,3156,39,1097,13,727,23,1671,59,998,40,615,22,239,4
New York,State,New Diagnosis,2014,3324,20,542,7,374,9,168,4,88,5,171,13,155,12,104,8,25,1
North Carolina,State,New Diagnosis,2014,1311,15.8,21,3,16,5,5,2,2,1,13,12,4,5,1,1,1,1
North Dakota,State,New Diagnosis,2014,20,3.3,673,7,490,10,183,4,107,6,264,18,175,12,97,6,27,1
Ohio,State,New Diagnosis,2014,946,9.7,113,4,88,6,25,2,13,2,43,8,29,6,21,4,6,1
Oklahoma,State,New Diagnosis,2014,304,9.5,314,9,221,13,93,5,53,9,109,20,72,14,59,12,20,2
Oregon,State,New Diagnosis,2014,239,7.1,944,9,638,12,306,5,158,8,381,23,212,14,123,7,67,2
Pennsylvania,State,New Diagnosis,2014,1197,11,204,23,143,33,61,13,37,20,81,59,40,32,28,18,18,6
Rhode Island,State,New Diagnosis,2014,89,9.8,198,5,133,7,65,3,32,4,78,13,49,8,25,4,13,1
South Carolina,State,New Diagnosis,2014,763,18.9,23,3,19,5,4,1,6,4,8,7,7,7,1,1,1,0
South Dakota,State,New Diagnosis,2014,29,4.2,288,5,204,8,84,3,30,3,92,11,85,10,54,6,27,1
Tennessee,State,New Diagnosis,2014,754,13.8,1882,9,1353,13,529,5,269,6,651,17,489,13,329,10,149,2
Texas,State,New Diagnosis,2014,4417,20.3,157,7,115,10,42,4,31,5,60,14,36,9,21,7,8,1
Utah,State,New Diagnosis,2014,114,5,35,6,24,9,11,4,4,4,12,16,9,12,7,8,3,1
Vermont,State,New Diagnosis,2014,17,3.1,572,8,394,12,178,5,89,7,191,16,145,13,103,9,44,2
Virginia,State,New Diagnosis,2014,901,12.9,851,14,694,24,157,5,101,9,284,28,226,24,169,18,75,4
Washington,State,New Diagnosis,2014,439,7.4,425,75,386,144,39,13,27,25,148,99,138,150,79,102,33,23
West Virginia,State,New Diagnosis,2014,84,5.3,68,4,47,6,21,3,17,6,19,9,18,8,12,5,2,0
Wisconsin,State,New Diagnosis,2014,217,4.5,228,5,169,7,59,2,51,5,75,10,62,9,29,4,11,1
Wyoming,State,New Diagnosis,2014,10,2.1,8,2,6,2,2,1,1,1,4,5,3,4,0,0,0,0
Alabama,State,New Diagnosis,2015,663,16.3,440,11,339,17,101,5,53,7,166,27,105,17,78,12,41,3
Alaska,State,New Diagnosis,2015,25,4.2,57,9,46,14,11,4,10,8,20,17,8,9,16,17,3,2
Arizona,State,New Diagnosis,2015,690,12.2,739,13,592,21,147,5,89,8,269,29,180,21,144,17,63,3
Arkansas,State,New Diagnosis,2015,273,11,221,9,189,16,32,3,24,5,100,26,50,14,32,8,15,2
California,State,New Diagnosis,2015,5108,15.8,8097,25,7378,46,719,4,765,12,2655,46,2112,41,1782,34,830,8
Colorado,State,New Diagnosis,2015,377,8.3,836,18,679,30,157,7,122,14,329,40,185,25,153,21,53,4
Connecticut,State,New Diagnosis,2015,279,9.1,919,30,690,47,229,14,166,28,380,86,185,43,129,24,61,6
Delaware,State,New Diagnosis,2015,103,12.9,168,21,128,33,40,10,22,15,73,58,29,26,27,21,18,6
District of Columbia,State,New Diagnosis,2015,369,63.4,4081,24,3349,40,732,8,387,13,1408,54,1003,41,897,33,399,6
Florida,State,New Diagnosis,2015,4571,26.4,1654,20,1353,33,301,7,204,12,552,40,414,30,359,26,130,5
Georgia,State,New Diagnosis,2015,2624,31.2,156,13,126,21,30,5,18,8,53,25,39,22,27,15,20,5
Hawaii,State,New Diagnosis,2015,119,10,98,7,84,13,14,2,17,6,38,18,25,12,14,7,5,1
Idaho,State,New Diagnosis,2015,40,3,3444,32,3046,58,398,7,413,20,1385,78,920,55,539,31,203,6
Illinois,State,New Diagnosis,2015,1550,14.4,675,12,527,20,148,5,107,9,242,29,182,22,100,11,49,3
Indiana,State,New Diagnosis,2015,632,11.5,335,13,233,18,102,8,64,12,127,33,85,23,40,10,18,2
Iowa,State,New Diagnosis,2015,124,4.8,269,11,222,19,47,4,28,6,128,33,47,14,43,12,22,3
Kansas,State,New Diagnosis,2015,154,6.4,354,10,278,15,76,4,40,6,121,22,108,19,67,11,24,2
Kentucky,State,New Diagnosis,2015,341,9.2,562,15,421,22,141,7,88,12,219,33,134,23,88,15,34,3
Louisiana,State,New Diagnosis,2015,1098,28.5,138,12,106,19,32,5,18,10,59,39,30,20,21,11,10,2
Maine,State,New Diagnosis,2015,46,4,1168,23,944,39,224,9,177,19,419,51,298,39,203,23,82,5
Maryland,State,New Diagnosis,2015,1176,23.4,3438,59,2690,96,748,25,502,45,1331,142,719,86,607,62,298,15
Massachusetts,State,New Diagnosis,2015,598,10.3,1089,13,834,20,255,6,189,12,369,30,253,22,188,14,86,3
Michigan,State,New Diagnosis,2015,725,8.6,873,19,739,33,134,6,132,15,309,41,223,33,149,20,64,4
Minnesota,State,New Diagnosis,2015,296,6.5,227,9,162,14,65,5,48,9,69,18,60,16,36,10,13,2
Mississippi,State,New Diagnosis,2015,506,20.5,810,16,654,26,156,6,117,12,269,34,217,29,149,18,60,3
Missouri,State,New Diagnosis,2015,463,9.1,61,7,47,11,14,3,6,4,27,21,17,14,7,5,4,1
Montana,State,New Diagnosis,2015,18,2.1,148,10,116,15,32,4,12,4,64,25,46,20,19,8,8,2
Nebraska,State,New Diagnosis,2015,79,5.1,366,15,309,26,57,5,39,9,156,38,95,25,56,14,23,3
Nevada,State,New Diagnosis,2015,476,19.9,190,17,161,29,29,5,21,10,70,45,55,35,30,15,15,4
New Hampshire,State,New Diagnosis,2015,25,2.2,1685,22,1336,37,349,9,226,16,684,59,392,34,269,20,114,5
New Jersey,State,New Diagnosis,2015,1200,16.1,190,11,160,19,30,3,33,9,68,25,38,15,28,11,23,4
New Mexico,State,New Diagnosis,2015,135,7.8,9114,54,7510,93,1604,18,1381,44,3770,131,2157,86,1323,48,513,9
New York,State,New Diagnosis,2015,3051,18.3,1218,14,964,24,254,6,160,10,391,30,336,26,248,18,86,3
North Carolina,State,New Diagnosis,2015,1327,15.8,33,5,29,9,4,1,8,6,14,12,6,7,4,5,1,0
North Dakota,State,New Diagnosis,2015,20,3.2,1647,17,1370,29,277,6,228,12,687,46,413,29,235,15,87,3
Ohio,State,New Diagnosis,2015,925,9.5,302,9,256,16,46,3,31,5,131,24,81,17,46,10,14,1
Oklahoma,State,New Diagnosis,2015,314,9.8,659,19,556,33,103,6,93,15,255,46,162,31,113,22,40,3
Oregon,State,New Diagnosis,2015,222,6.5,2061,19,1606,30,455,8,331,17,827,50,437,29,311,17,152,4
Pennsylvania,State,New Diagnosis,2015,1173,10.8,396,44,320,74,76,16,69,39,140,98,84,68,75,50,29,9
Rhode Island,State,New Diagnosis,2015,64,7,387,9,320,16,67,3,45,6,137,22,106,18,74,11,27,2
South Carolina,State,New Diagnosis,2015,667,16.2,65,9,53,15,12,3,7,5,28,25,16,16,9,9,5,2
South Dakota,State,New Diagnosis,2015,23,3.3,689,12,530,20,159,6,74,7,239,27,182,22,129,14,67,4
Tennessee,State,New Diagnosis,2015,739,13.4,4029,18,3382,31,647,6,494,10,1489,37,1038,28,740,21,291,5
Texas,State,New Diagnosis,2015,4532,20.4,408,17,344,30,64,5,54,9,183,42,91,22,60,19,24,4
Utah,State,New Diagnosis,2015,122,5.3,63,12,50,19,13,5,8,8,18,25,17,24,12,13,8,4
Vermont,State,New Diagnosis,2015,14,2.6,1137,16,932,27,205,6,148,11,441,38,242,22,228,20,85,4
Virginia,State,New Diagnosis,2015,955,13.6,1951,32,1760,59,191,6,212,19,693,66,521,56,381,40,159,8
Washington,State,New Diagnosis,2015,451,7.5,1024,177,969,354,55,18,86,80,373,244,302,314,193,250,76,52
West Virginia,State,New Diagnosis,2015,72,4.6,129,8,108,14,21,3,15,5,51,23,29,13,26,11,6,1
Wisconsin,State,New Diagnosis,2015,225,4.6,545,11,456,19,89,4,84,9,183,25,142,20,111,14,25,1
Wyoming,State,New Diagnosis,2015,17,3.5,17,4,13,5,4,2,2,2,8,10,3,4,3,4,1,1
Alabama,State,New Diagnosis,2016,663,16.2,632,15,570,29,62,3,67,9,256,41,168,28,114,18,36,3
Alaska,State,New Diagnosis,2016,37,6.1,64,11,56,18,8,3,10,8,21,17,14,15,15,16,4,2
Arizona,State,New Diagnosis,2016,714,12.4,1004,17,945,33,59,2,101,9,365,39,259,30,186,22,101,5
Arkansas,State,New Diagnosis,2016,312,12.6,291,12,275,23,16,1,32,7,125,33,75,21,47,12,14,2
California,State,New Diagnosis,2016,5172,15.8,10388,32,9973,62,415,3,900,14,3653,62,2690,52,2181,42,1059,11
Colorado,State,New Diagnosis,2016,423,9.1,1048,23,989,43,59,3,110,12,451,54,235,31,186,26,73,5
Connecticut,State,New Diagnosis,2016,258,8.4,949,31,872,59,77,5,132,22,374,86,223,53,158,30,72,7
Delaware,State,New Diagnosis,2016,112,13.9,245,30,213,55,32,8,28,20,96,75,53,48,41,33,30,10
District of Columbia,State,New Diagnosis,2016,348,58.9,5638,32,5288,62,350,4,466,16,1966,74,1450,59,1241,45,558,8
Florida,State,New Diagnosis,2016,4662,26.4,2165,25,1991,48,174,4,191,11,737,53,576,42,515,37,167,6
Georgia,State,New Diagnosis,2016,2495,29.3,211,18,193,32,18,3,28,13,81,39,48,27,28,16,26,6
Hawaii,State,New Diagnosis,2016,78,6.5,149,11,139,20,10,1,26,9,60,27,38,19,20,10,8,2
Idaho,State,New Diagnosis,2016,45,3.3,4404,41,4155,80,249,5,529,26,1823,103,1130,68,706,41,256,7
Illinois,State,New Diagnosis,2016,1483,13.8,954,17,824,31,130,5,133,12,360,42,232,28,159,18,74,4
Indiana,State,New Diagnosis,2016,484,8.8,463,18,437,34,26,2,53,10,186,47,123,33,71,18,32,3
Iowa,State,New Diagnosis,2016,133,5.1,319,13,301,25,18,1,40,8,138,37,67,19,52,15,23,3
Kansas,State,New Diagnosis,2016,147,6.1,447,12,411,23,36,2,44,6,171,30,127,23,79,13,30,2
Kentucky,State,New Diagnosis,2016,337,9.1,709,18,621,33,88,4,107,14,263,39,187,32,109,19,45,4
Louisiana,State,New Diagnosis,2016,1110,28.7,168,15,157,28,11,2,19,10,57,36,42,28,30,16,21,5
Maine,State,New Diagnosis,2016,53,4.6,1499,30,1359,56,140,5,234,25,580,69,355,46,248,29,98,6
Maryland,State,New Diagnosis,2016,1100,21.8,3443,59,3184,113,259,9,426,38,1354,143,732,89,650,68,316,16
Massachusetts,State,New Diagnosis,2016,638,10.9,1353,16,1236,30,117,3,202,12,494,39,338,29,231,17,96,3
Michigan,State,New Diagnosis,2016,745,8.9,1290,28,1215,53,75,3,168,19,482,65,325,47,234,32,96,6
Minnesota,State,New Diagnosis,2016,296,6.4,290,12,261,22,29,2,41,8,92,24,86,23,55,15,18,2
Mississippi,State,New Diagnosis,2016,425,17.2,1075,21,979,39,96,4,146,15,351,44,285,39,209,26,91,5
Missouri,State,New Diagnosis,2016,510,10,81,9,74,17,7,2,10,6,36,28,19,16,13,10,3,1
Montana,State,New Diagnosis,2016,20,2.3,158,10,144,19,14,2,16,5,59,23,53,23,23,10,9,2
Nebraska,State,New Diagnosis,2016,76,4.9,541,22,518,42,23,2,47,11,224,53,146,37,100,26,29,4
Nevada,State,New Diagnosis,2016,512,21,226,20,211,37,15,3,29,14,84,52,62,41,37,18,17,4
New Hampshire,State,New Diagnosis,2016,40,3.4,1970,26,1805,49,165,4,239,17,798,69,473,41,341,26,139,5
New Jersey,State,New Diagnosis,2016,1196,16,246,14,225,26,21,2,32,9,102,37,49,20,42,17,25,4
New Mexico,State,New Diagnosis,2016,144,8.3,12686,76,11796,147,890,10,1567,51,5544,192,3125,127,1836,67,710,13
New York,State,New Diagnosis,2016,2820,16.9,1472,17,1365,33,107,2,166,10,513,39,397,30,306,22,102,4
North Carolina,State,New Diagnosis,2016,1386,16.3,53,8,53,17,0,0,7,5,22,19,15,17,8,9,2,1
North Dakota,State,New Diagnosis,2016,46,7.4,2480,25,2305,49,175,3,331,18,1077,72,593,43,347,22,153,4
Ohio,State,New Diagnosis,2016,961,9.8,395,12,367,23,28,2,40,6,158,29,112,24,64,13,24,2
Oklahoma,State,New Diagnosis,2016,293,9.1,944,27,883,52,61,3,94,15,368,64,249,47,163,32,79,6
Oregon,State,New Diagnosis,2016,226,6.5,2744,25,2481,47,263,5,406,21,1118,67,613,41,448,26,183,5
Pennsylvania,State,New Diagnosis,2016,1131,10.4,437,48,405,92,32,7,66,37,167,117,98,80,81,55,29,9
Rhode Island,State,New Diagnosis,2016,71,7.8,474,11,426,21,48,2,42,5,185,29,143,23,83,13,24,2
South Carolina,State,New Diagnosis,2016,746,17.9,69,10,65,18,4,1,4,3,30,27,20,20,12,12,3,1
South Dakota,State,New Diagnosis,2016,43,6.1,938,17,848,31,90,3,110,10,316,36,237,28,213,24,71,4
Tennessee,State,New Diagnosis,2016,713,12.8,4808,21,4521,41,287,3,466,10,1822,45,1236,33,933,27,397,6
Texas,State,New Diagnosis,2016,4523,20,540,23,524,44,16,1,56,9,253,56,133,33,73,23,28,5
Utah,State,New Diagnosis,2016,139,5.9,61,11,52,20,9,3,6,6,22,31,18,26,14,16,3,1
Vermont,State,New Diagnosis,2016,5,0.9,1364,19,1273,37,91,3,140,10,573,50,314,29,234,20,114,5
Virginia,State,New Diagnosis,2016,906,12.8,2694,44,2559,84,135,4,257,23,983,92,716,76,555,58,215,11
Washington,State,New Diagnosis,2016,425,7,1571,268,1519,551,52,17,125,117,631,408,445,451,281,362,106,71
West Virginia,State,New Diagnosis,2016,68,4.3,153,10,141,18,12,2,16,6,65,30,41,18,26,11,7,1
Wisconsin,State,New Diagnosis,2016,229,4.7,736,15,703,29,33,1,83,9,267,37,203,30,158,20,32,2
Wyoming,State,New Diagnosis,2016,21,4.4,26,5,25,10,1,0,6,7,8,10,4,6,4,6,4,2
Alabama,State,New Diagnosis,2017,651,15.9,899,22,834,42,65,3,108,14,385,61,191,32,169,27,55,4
Alaska,State,New Diagnosis,2017,34,5.6,88,15,81,26,7,2,7,6,40,34,20,21,19,21,5,3
Arizona,State,New Diagnosis,2017,725,12.3,1564,27,1481,51,83,3,184,16,591,62,377,44,260,31,161,8
Arkansas,State,New Diagnosis,2017,287,11.5,391,16,363,30,28,2,49,10,167,43,107,29,59,16,17,2
California,State,New Diagnosis,2017,4766,14.5,12778,39,12271,75,507,3,1235,19,4679,78,3196,61,2474,48,1349,13
Colorado,State,New Diagnosis,2017,442,9.4,1416,30,1346,57,70,3,170,19,600,69,338,44,226,31,95,6
Connecticut,State,New Diagnosis,2017,275,9,1214,39,1115,75,99,6,203,35,475,107,268,63,183,35,91,8
Delaware,State,New Diagnosis,2017,126,15.5,306,38,279,71,27,6,29,21,121,92,67,60,50,40,43,14
District of Columbia,State,New Diagnosis,2017,305,51.1,7594,42,7219,83,375,4,686,23,2648,98,1914,75,1591,57,832,12
Florida,State,New Diagnosis,2017,4563,25.4,2656,31,2479,60,177,4,262,15,950,67,671,48,597,42,217,8
Georgia,State,New Diagnosis,2017,2564,29.7,242,20,229,38,13,2,31,15,89,43,66,36,35,20,24,5
Hawaii,State,New Diagnosis,2017,78,6.5,184,13,171,24,13,2,27,9,85,38,42,20,23,12,8,2
Idaho,State,New Diagnosis,2017,46,3.3,5409,50,5043,96,366,7,800,39,2297,130,1238,76,821,49,321,9
Illinois,State,New Diagnosis,2017,1352,12.6,1236,22,1118,41,118,4,188,17,495,57,270,33,213,25,82,4
Indiana,State,New Diagnosis,2017,516,9.3,678,26,650,50,28,2,102,19,274,70,157,42,109,28,46,5
Iowa,State,New Diagnosis,2017,124,4.7,391,16,370,31,21,2,54,11,171,45,81,23,59,17,29,4
Kansas,State,New Diagnosis,2017,119,5,595,16,563,31,32,2,63,9,243,42,150,27,104,18,43,3
Kentucky,State,New Diagnosis,2017,365,9.8,1078,28,930,49,148,7,191,25,410,63,271,46,132,23,86,7
Louisiana,State,New Diagnosis,2017,1011,26.1,225,19,212,38,13,2,34,18,59,37,64,42,44,24,28,6
Maine,State,New Diagnosis,2017,30,2.6,2015,40,1834,75,181,7,363,39,830,99,425,55,281,33,137,8
Maryland,State,New Diagnosis,2017,1021,20.2,3803,64,3583,126,220,7,528,48,1559,160,821,98,609,65,325,16
Massachusetts,State,New Diagnosis,2017,596,10.1,1815,21,1679,41,136,3,315,19,685,54,429,37,288,22,123,4
Michigan,State,New Diagnosis,2017,778,9.2,1597,34,1510,65,87,4,238,28,614,81,375,53,278,39,115,7
Minnesota,State,New Diagnosis,2017,273,5.9,363,15,328,28,35,3,55,11,132,36,102,27,61,16,18,2
Mississippi,State,New Diagnosis,2017,427,17.2,1325,26,1240,50,85,3,190,19,474,58,295,40,264,34,125,7
Missouri,State,New Diagnosis,2017,504,9.8,95,11,89,20,6,1,9,6,37,28,29,23,16,13,5,1
Montana,State,New Diagnosis,2017,31,3.5,234,15,220,28,14,2,34,11,93,36,59,25,33,15,15,3
Nebraska,State,New Diagnosis,2017,88,5.6,765,30,735,59,30,2,68,15,297,68,232,58,139,35,37,4
Nevada,State,New Diagnosis,2017,491,19.8,249,21,234,41,15,3,30,14,82,50,70,46,47,24,23,5
New Hampshire,State,New Diagnosis,2017,34,2.9,2658,35,2464,67,194,5,429,31,1036,89,619,53,409,32,190,7
New Jersey,State,New Diagnosis,2017,1125,15,369,21,353,41,16,2,63,18,137,50,80,32,52,22,42,7
New Mexico,State,New Diagnosis,2017,136,7.8,17206,102,16044,197,1162,13,2232,73,7611,261,4127,168,2372,89,1065,19
New York,State,New Diagnosis,2017,2730,16.4,1798,21,1705,41,93,2,220,13,679,50,434,33,323,23,161,5
North Carolina,State,New Diagnosis,2017,1297,15,83,13,82,25,1,0,8,6,34,30,27,30,11,13,4,2
North Dakota,State,New Diagnosis,2017,37,5.9,3348,34,3132,66,216,4,518,28,1408,92,768,56,473,31,215,6
Ohio,State,New Diagnosis,2017,986,10,481,15,442,28,39,2,54,8,188,35,123,25,86,18,33,3
Oklahoma,State,New Diagnosis,2017,299,9.2,1293,37,1201,69,92,5,143,23,535,92,327,60,207,40,99,8
Oregon,State,New Diagnosis,2017,203,5.8,3809,35,3474,65,335,6,653,33,1565,93,814,55,541,32,268,7
Pennsylvania,State,New Diagnosis,2017,1088,10,540,59,506,115,34,7,94,53,212,145,117,95,92,65,33,10
Rhode Island,State,New Diagnosis,2017,83,9.1,590,14,548,27,42,2,67,8,238,37,144,23,105,16,43,3
South Carolina,State,New Diagnosis,2017,711,16.8,76,11,73,20,3,1,5,4,32,27,25,25,10,10,4,2
South Dakota,State,New Diagnosis,2017,40,5.6,1336,24,1263,46,73,3,169,16,501,55,318,38,280,31,82,4
Tennessee,State,New Diagnosis,2017,731,13,6436,28,6071,54,365,3,797,16,2521,61,1589,41,1072,30,515,8
Texas,State,New Diagnosis,2017,4358,18.9,692,28,675,55,17,1,64,11,309,68,181,43,94,30,51,8
Utah,State,New Diagnosis,2017,117,4.8,84,16,77,29,7,3,12,12,28,38,18,26,15,18,11,5
Vermont,State,New Diagnosis,2017,20,3.7,1744,24,1656,48,88,2,200,15,785,67,376,34,265,23,132,6
Virginia,State,New Diagnosis,2017,865,12.1,3451,56,3297,106,154,5,394,36,1328,120,857,88,648,68,278,13
Washington,State,New Diagnosis,2017,433,7,1869,314,1811,648,58,18,130,129,824,507,484,474,307,402,134,87
West Virginia,State,New Diagnosis,2017,76,4.9,228,15,208,27,20,3,27,10,99,47,56,25,37,16,13,2
Wisconsin,State,New Diagnosis,2017,259,5.3,916,19,880,36,36,1,118,13,335,46,239,34,175,23,59,3
Wyoming,State,New Diagnosis,2017,10,2.1,29,6,28,11,1,0,3,3,9,11,7,10,6,9,4,2
Alabama,State,New Diagnosis,2018,572,13.9,1194,29,1107,56,87,4,168,21,496,79,259,43,204,32,81,6
Alaska,State,New Diagnosis,2018,20,3.3,148,25,140,44,8,3,16,13,60,51,33,34,24,27,18,10
Arizona,State,New Diagnosis,2018,806,13.4,2167,37,2062,71,105,4,275,24,854,89,495,58,351,41,219,11
Arkansas,State,New Diagnosis,2018,281,11.2,616,25,578,47,38,3,86,18,249,65,171,46,80,21,35,4
California,State,New Diagnosis,2018,4398,13.3,15218,46,14507,89,711,4,1669,26,5651,94,3716,71,2702,52,1678,16
Colorado,State,New Diagnosis,2018,409,8.5,1855,39,1757,75,98,4,253,29,750,86,434,57,305,42,127,9
Connecticut,State,New Diagnosis,2018,250,8.2,1774,58,1617,109,157,10,297,51,737,166,368,87,258,50,136,12
Delaware,State,New Diagnosis,2018,91,11.1,403,49,374,96,29,7,39,28,159,122,99,89,58,47,50,16
District of Columbia,State,New Diagnosis,2018,208,34.6,10224,57,9585,110,638,7,1045,35,3490,129,2492,98,2072,75,1239,18
Florida,State,New Diagnosis,2018,4683,25.6,3279,38,3043,73,236,5,366,21,1162,82,801,58,717,51,276,10
Georgia,State,New Diagnosis,2018,2552,29.2,303,25,287,48,16,3,44,22,108,52,77,42,45,26,32,7
Hawaii,State,New Diagnosis,2018,66,5.5,232,17,218,31,14,2,35,12,99,45,57,27,28,14,14,3
Idaho,State,New Diagnosis,2018,37,2.6,6931,64,6406,122,523,10,980,48,2893,164,1612,98,1051,63,486,13
Illinois,State,New Diagnosis,2018,1352,12.6,1728,31,1578,58,150,5,269,24,678,78,375,46,283,33,140,7
Indiana,State,New Diagnosis,2018,510,9.1,914,35,868,67,46,3,153,29,381,97,215,57,116,30,59,6
Iowa,State,New Diagnosis,2018,116,4.4,593,25,556,47,37,3,85,17,253,66,124,35,87,25,53,6
Kansas,State,New Diagnosis,2018,154,6.4,883,24,840,46,43,2,101,14,342,60,222,40,159,27,71,5
Kentucky,State,New Diagnosis,2018,360,9.6,1883,49,1555,83,328,16,327,43,701,108,461,79,255,44,149,12
Louisiana,State,New Diagnosis,2018,986,25.5,320,28,306,54,14,2,51,27,92,58,81,54,54,29,45,9
Maine,State,New Diagnosis,2018,28,2.4,2803,55,2580,105,223,8,533,58,1149,137,588,76,375,44,195,11
Maryland,State,New Diagnosis,2018,979,19.3,5124,87,4848,171,276,9,733,66,2131,219,1085,130,786,84,457,22
Massachusetts,State,New Diagnosis,2018,654,11,2765,33,2541,62,223,5,491,30,1022,81,638,55,434,33,203,7
Michigan,State,New Diagnosis,2018,718,8.5,2034,44,1902,82,132,6,301,35,823,109,457,65,323,45,149,9
Minnesota,State,New Diagnosis,2018,283,6.1,519,21,464,39,55,4,95,18,173,48,134,35,86,23,37,4
Mississippi,State,New Diagnosis,2018,479,19.3,1809,35,1719,69,90,3,252,26,683,84,408,56,322,41,165,9
Missouri,State,New Diagnosis,2018,446,8.7,128,14,118,27,10,2,17,11,47,36,35,28,21,17,10,3
Montana,State,New Diagnosis,2018,23,2.6,345,22,325,42,20,3,57,18,141,54,74,31,52,23,24,4
